Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
ceramic coating sharjah,Commercial,110,"1.00,0.05,0.05,0.05,0.05,0.14,0.10,0.14,0.10,0.05,0.10,0.05",5,1.97,"Image, Video, People also ask, Local pack, Related searches"
ceramic coating price,Informational,90,"1.00,0.10,0.01,0.04,0.54,0.01,0.01,0.12,0.01,0.07,0.01,0.01",9,2.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ceramic coating for cars price,Informational,70,"1.00,0.29,0.07,0.07,0.07,0.21,0.07,0.14,0.07,0.07,0.07,0.07",5,1.78,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
what is ceramic coating,Informational,70,"0.07,1.00,0.07,0.79,0.07,0.07,0.07,0.64,0.07,0.21,0.14,0.14",39,2.14,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches"
car ceramic coating dubai,Commercial,50,"0.04,0.04,0.04,0.04,1.00,0.04,0.08,0.15,0.04,0.08,0.04,0.04",19,4.07,"Sitelinks, AI Overview, Image, Video, Video carousel, Local pack, Related searches"
ceramic coating price in dubai,Informational,50,"0.65,0.04,0.19,0.04,1.00,0.35,0.04,0.04,0.04,0.04,0.04,0.04",9,2.62,"Sitelinks, AI Overview, Video, People also ask, Local pack, Related searches"
3m ceramic coating,,30,"0.57,0.14,0.43,0.14,0.14,0.14,0.71,0.43,0.14,0.43,1.00,0.43",,1.65,
3m ceramic coating dubai,Commercial,30,"0.43,0.57,0.43,1.00,0.14,0.14,0.29,0.29,0.57,0.43,0.14,0.14",16,3.68,"Sitelinks, Video, People also ask, Local pack, Related searches"
9h ceramic coating,Informational,30,"0.11,0.11,0.11,0.11,0.33,1.00,0.11,0.44,0.44,0.11,0.11,0.11",14,1.45,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
avalon king ceramic coating,,30,"0.33,0.11,0.11,1.00,0.11,0.22,0.56,0.11,0.22,0.22,0.11,1.00",,0.00,
best ceramic coating abu dhabi,Commercial,30,"0.43,0.14,0.14,0.14,0.14,0.29,0.29,1.00,0.29,0.14,0.57,0.14",26,1.73,"Video, Local pack"
best ceramic coating dubai,Informational,30,"0.22,0.11,0.11,0.11,0.11,0.44,1.00,1.00,0.11,0.11,0.11,0.22",,2.15,"Sitelinks, AI Overview, Video, Knowledge panel, Related searches"
car body ceramic coating,,30,"0.33,0.56,0.11,0.22,0.22,0.11,1.00,0.33,0.56,1.00,0.00,0.00",,0.00,
car ceramic coating products,,30,"0.11,1.00,1.00,0.22,0.11,0.11,0.11,0.44,0.11,0.11,0.11,0.11",,0.00,
ceramic car coating dubai,,30,"0.09,0.09,0.09,0.09,0.09,0.09,0.64,0.82,0.27,1.00,0.09,0.00",,0.00,
ceramic coated cast iron,,30,"1.00,0.11,0.11,0.33,0.11,0.56,0.22,0.11,0.22,0.11,0.78,0.11",,0.00,
ceramic coating before and after,Informational,30,"0.56,0.11,0.11,0.11,1.00,0.22,0.56,0.22,0.33,0.11,0.11,0.11",22,2.55,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
ceramic coating cost,Informational,30,"0.11,0.22,0.11,0.11,0.22,1.00,0.78,0.33,0.11,0.11,0.11,0.11",6,1.93,"Sitelinks, Image pack, Video, Video carousel, People also ask, Related searches"
ceramic coating disadvantages,,30,"0.11,0.11,0.44,0.78,0.11,1.00,0.11,0.11,0.11,0.11,0.33,0.11",,0.00,
ceramic coating dubai price,Informational,30,"1.00,0.33,0.33,0.67,0.33,0.33,0.33,0.33,0.33,0.33,0.33,0.33",3,2.27,"Sitelinks, AI Overview, Video, People also ask, Related searches"
ceramic coating for boats,,30,"0.11,0.11,0.11,0.56,0.11,1.00,0.11,0.11,0.78,0.11,0.11,0.33",,0.00,
ceramic coating gtechniq,,30,"0.14,0.14,0.14,0.43,1.00,0.29,0.14,1.00,0.71,0.14,0.14,0.14",,0.00,
ceramic coating headers,,30,"0.11,0.11,0.22,1.00,0.11,0.33,0.56,0.22,0.44,0.11,0.44,0.22",,0.00,
ceramic coating in dubai,Commercial,30,"1.00,0.11,0.11,1.00,0.11,0.11,0.56,0.11,0.11,0.11,0.11,0.11",16,3.69,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
ceramic coating kochi,,30,"0.43,0.14,1.00,0.57,0.43,0.14,0.14,0.29,0.14,0.14,0.14,0.71",,0.00,
ceramic coating maintenance,,30,"0.11,0.56,0.11,0.33,0.11,0.11,0.78,0.11,1.00,0.22,0.22,0.11",,0.00,
ceramic coating meaning,,30,"0.11,0.22,0.11,0.11,1.00,0.78,0.56,0.11,0.11,0.33,0.56,0.11",,0.00,
ceramic coating products,Informational,30,"0.11,0.11,0.78,0.11,0.56,0.56,0.33,0.11,0.11,0.22,0.11,1.00",9,0.50,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
ceramic coating safe,,30,"0.29,0.14,0.14,0.57,0.14,0.71,0.14,1.00,0.14,0.71,0.29,0.14",,0.00,
ceramic coating vessels,,30,"0.11,0.33,0.11,0.22,0.22,0.22,1.00,0.11,0.11,0.44,0.44,0.11",,0.00,
ceramic coating vs ppf,Informational,30,"0.14,1.00,0.14,0.14,0.71,0.29,0.14,0.57,0.29,0.14,0.43,0.14",10,2.79,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
disadvantages of ceramic coating,,30,"0.14,0.14,0.43,0.14,0.29,0.14,0.14,1.00,1.00,0.14,1.00,0.14",,0.00,
gyeon ceramic coating,,30,"0.11,0.11,0.11,1.00,0.22,0.44,0.11,0.11,0.11,0.11,1.00,0.22",,1.25,
how to apply ceramic coating to car,,30,"0.14,0.14,0.14,1.00,0.14,1.00,0.71,0.14,0.71,0.14,0.14,0.14",,0.00,
how to clean ceramic coated car,,30,"0.11,0.56,0.33,0.11,0.44,0.33,1.00,0.56,0.11,0.00,0.11,0.00",,0.00,
industrial ceramic coating,,30,"1.00,0.14,0.14,0.14,0.14,1.00,0.29,0.29,0.29,0.29,0.14,1.00",,0.00,
nano ceramic coating in abu dhabi,,30,"0.82,0.09,0.09,0.18,0.18,0.09,0.09,0.00,0.09,1.00,0.09,0.00",,0.00,
paint protection film vs ceramic coating,,30,"0.11,0.11,0.11,0.56,0.11,0.44,0.11,0.22,0.44,0.11,0.11,1.00",,0.99,
puris ceramic coating,,30,"0.11,0.33,1.00,0.22,1.00,0.11,0.11,0.11,0.11,0.11,0.33,1.00",,0.00,
sonax ceramic coating,Informational,30,"0.14,0.71,0.14,0.14,0.14,0.14,0.29,1.00,0.57,0.14,0.29,0.57",13,1.05,"AI Overview, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
what does ceramic coating do,Informational,30,"0.11,0.11,0.33,0.44,0.78,1.00,0.11,0.11,0.78,0.11,0.22,0.33",19,1.30,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
what is nano ceramic coating,Informational,30,"0.14,1.00,1.00,0.29,0.14,0.57,0.14,1.00,0.14,0.29,0.29,0.29",12,1.31,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
3d ceramic coating,,20,"0.11,1.00,0.11,0.11,0.11,0.33,0.11,0.11,0.22,0.44,0.11,0.33",,0.00,
3m car ceramic coating,,20,"0.11,0.11,0.22,0.22,0.22,0.22,0.11,0.11,0.11,0.22,0.11,1.00",,0.00,
3m ceramic coating cost,,20,"0.00,0.00,0.00,0.22,0.00,0.00,0.00,0.00,1.00,0.44,0.00,0.56",,0.00,
3m ceramic coating price,,20,"0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.29,0.29,0.57,0.71,1.00",,1.32,
9h car ceramic coating,,20,"0.80,0.20,1.00,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20",,0.00,
9h nano ceramic coating,,20,"0.14,0.14,0.14,0.71,0.14,0.14,0.29,0.14,1.00,0.43,0.14,0.43",,0.00,
armor shield ceramic coating,,20,"0.22,0.11,0.11,0.11,0.11,0.11,0.22,1.00,0.11,0.22,0.22,0.11",,0.00,
auto ceramic coating,,20,"0.25,0.25,0.25,0.75,0.25,0.75,0.25,0.25,0.25,0.25,1.00,0.25",,0.00,
auto ceramic coating near me,,20,"0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.44,0.11,0.00",,0.00,
automotive ceramic coating,,20,"0.29,0.00,1.00,0.43,0.00,0.71,0.29,0.14,0.29,0.14,0.14,0.43",,0.00,
automotive paint ceramic coating,,20,"0.25,0.25,0.25,1.00,0.25,0.75,0.25,0.25,0.25,0.25,0.25,0.50",,0.00,
autotriz ceramic coating,,20,"0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.20,0.40,0.20,1.00",,0.00,
benefits of ceramic coating,,20,"0.14,0.14,0.14,0.43,0.29,1.00,0.14,0.71,0.14,0.14,0.14,0.14",,1.53,
benefits of ceramic coating on car,,20,"0.20,0.40,0.20,0.20,0.40,0.40,0.20,1.00,0.20,0.40,0.20,0.80",,1.38,
best car wash for ceramic coating,,20,"0.33,1.00,0.33,1.00,0.33,0.33,0.67,0.33,0.33,0.67,0.33,0.33",,0.00,
best nano ceramic coating for cars,,20,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,
buy ceramic coating,,20,"1.00,0.14,0.14,0.14,0.14,0.29,0.14,0.43,0.14,0.29,0.14,0.14",,0.00,
car ceramic coating kit,,20,"0.33,0.33,1.00,0.33,0.33,0.33,0.33,1.00,0.33,0.33,1.00,0.33",,0.00,
car detailing ceramic coating,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,1.00,0.00,0.43",,0.00,
car interior ceramic coating,,20,"0.43,0.29,0.57,0.29,0.14,0.29,0.14,0.43,0.29,0.14,0.14,1.00",,2.65,
car paint ceramic coating,,20,"0.57,0.14,0.14,0.14,0.14,0.14,0.43,1.00,0.14,0.29,0.14,0.43",,0.00,
ceramic car coating diy,,20,"1.00,0.20,0.40,0.60,0.20,0.20,0.80,0.20,0.40,0.20,0.20,0.20",,0.00,
ceramic clear coat,,20,"0.25,0.25,1.00,0.25,0.50,0.75,0.25,0.25,0.25,0.25,0.25,0.25",,0.00,
ceramic coated cast iron cookware,,20,"0.40,0.20,1.00,0.20,0.40,0.20,0.60,0.20,0.20,0.20,0.20,0.20",,0.00,
ceramic coated cookware vs teflon,,20,"0.00,0.11,0.00,0.11,0.00,0.78,0.00,0.00,0.00,0.00,0.00,1.00",,0.00,
ceramic coated frying pan,,20,"0.11,0.22,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.22",,0.30,
ceramic coated non stick pans,,20,"1.00,1.00,0.14,0.43,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,
ceramic coated pots and pans set,,20,"0.60,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.80,1.00,0.40,0.20",,0.23,
ceramic coated sandwich maker,,20,"0.11,0.44,0.11,0.22,0.22,0.11,0.22,0.11,0.11,1.00,0.11,0.11",,0.00,
ceramic coated stainless steel cookware,,20,"0.14,0.43,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.29,1.00,0.71",,0.00,
ceramic coating aluminum,,20,"0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.29,0.14,0.43,0.14,0.29",,0.00,
ceramic coating application,,20,"0.14,0.57,0.14,1.00,0.43,0.14,0.14,0.14,0.43,0.29,0.14,0.14",,0.00,
ceramic coating at home,,20,"0.20,0.40,0.20,0.20,0.40,0.60,0.20,0.20,0.80,0.20,1.00,0.40",,1.59,
ceramic coating car interior,,20,"0.40,1.00,0.40,0.40,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.20",,0.00,
ceramic coating car polish,,20,"0.14,0.14,1.00,0.71,0.14,0.29,0.43,0.14,0.14,0.14,0.14,0.43",,0.00,
ceramic coating charges,,20,"0.20,1.00,0.20,0.20,0.80,0.20,0.20,0.20,0.20,0.20,0.20,0.20",,0.00,
ceramic coating companies,,20,"0.43,0.29,0.14,0.71,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.43",,0.00,
ceramic coating cookware safe,,20,"0.11,0.11,0.11,0.33,0.11,0.11,0.44,0.11,0.11,0.44,0.22,1.00",,0.00,
ceramic coating cure time,,20,"1.00,0.00,0.14,1.00,0.14,0.29,0.29,0.57,0.43,0.14,0.14,0.00",,0.00,
ceramic coating detailing,,20,"0.25,0.00,1.00,1.00,0.25,0.25,0.00,0.50,0.50,0.75,0.75,0.00",,0.00,
ceramic coating exhaust,,20,"0.43,0.14,0.14,0.14,1.00,0.14,0.14,0.71,0.71,0.14,0.14,0.14",,0.64,
ceramic coating exhaust manifold,,20,"0.20,0.20,0.20,1.00,0.20,0.60,0.20,0.20,0.20,0.20,0.20,0.20",,0.00,
ceramic coating for bikes,,20,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.71,0.14,0.14,0.14",,0.00,
ceramic coating for leather car seats,,20,"0.11,0.11,0.22,0.00,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.00",,0.00,
ceramic coating hair straighteners,,20,"0.20,0.20,0.60,0.20,0.20,0.40,0.20,0.20,0.20,0.20,1.00,0.20",,0.00,
ceramic coating matte paint,,20,"0.20,0.20,0.80,0.20,0.60,0.20,0.20,0.20,1.00,0.20,0.20,0.20",,0.00,
ceramic coating metal,,20,"1.00,0.14,0.43,0.14,0.29,0.14,0.29,0.14,0.14,0.14,0.14,0.43",,0.00,
ceramic coating motorcycle,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.43,1.00,0.14,0.14,0.29",,0.00,
ceramic coating mussafah,,20,"0.11,0.11,0.11,0.33,0.11,0.78,0.22,0.11,0.11,0.11,1.00,0.11",,2.50,
ceramic coating on ppf,,20,"0.40,0.20,0.20,1.00,0.20,0.80,0.20,0.20,0.20,0.40,0.20,0.00",,0.00,
ceramic coating over paint protection film,,20,"0.20,0.20,0.20,0.20,0.60,0.20,0.20,0.40,1.00,0.20,0.20,0.20",,0.00,
ceramic coating paint protection,,20,"0.33,1.00,0.33,0.33,1.00,0.33,0.33,1.00,0.33,0.33,0.33,0.33",,0.00,
ceramic coating price in abu dhabi,,20,"0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.14,1.00",,1.21,
ceramic coating price in kerala,,20,"0.20,0.80,0.60,0.80,1.00,0.20,1.00,0.20,0.20,0.20,0.20,0.20",,0.00,
ceramic coating price in philippines,,20,"0.43,0.14,0.43,0.29,0.14,0.14,0.14,0.14,0.14,1.00,0.43,0.71",,0.00,
ceramic coating price list,,20,"0.14,0.14,0.71,0.14,0.43,0.29,0.14,0.14,0.29,1.00,0.14,0.14",,0.00,
ceramic coating price philippines,,20,"0.20,0.20,0.20,0.60,0.20,0.40,0.20,0.20,1.00,0.20,0.20,0.20",,0.00,
ceramic coating protection,,20,"0.33,0.67,0.33,0.33,0.33,1.00,1.00,0.33,0.33,0.33,0.33,0.67",,0.00,
ceramic coating reviews,,20,"0.14,0.29,0.14,0.43,1.00,0.14,0.14,0.14,0.14,0.29,0.14,0.14",,0.00,
ceramic coating rims,,20,"0.33,0.33,0.33,0.33,0.33,0.33,1.00,1.00,0.33,0.33,1.00,0.33",,0.00,
ceramic coating services,,20,"0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.71,0.14,0.14,0.14,0.14",,0.00,
ceramic coating stainless steel,,20,"0.56,0.22,1.00,0.11,0.11,0.11,0.11,0.22,0.11,0.33,0.11,0.11",,0.00,
ceramic coating uae,,20,"0.20,0.20,0.40,0.60,0.20,0.20,0.40,0.20,0.40,0.20,0.20,1.00",,2.39,
ceramic coating utensils,,20,"0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.40,0.20,0.20,0.60",,0.00,
ceramic coating vs wax,,20,"0.11,1.00,0.11,0.11,0.11,0.11,0.33,0.11,0.11,0.11,0.11,0.11",,0.00,
ceramic coating wax,,20,"0.00,0.22,0.11,0.22,0.22,0.11,1.00,0.11,0.11,0.11,0.11,0.00",,0.00,
ceramic coating wheels,,20,"1.00,0.25,0.25,0.25,0.75,0.25,0.25,0.25,0.50,0.50,0.75,0.25",,0.00,
ceramic coating worth it,,20,"0.11,0.33,0.11,0.11,1.00,0.56,0.11,0.22,0.11,0.11,0.11,0.11",,0.00,
ceramic epoxy coating,,20,"0.11,0.22,1.00,0.11,0.11,0.11,0.11,0.33,0.22,0.11,0.11,0.11",,0.00,
ceramic glass coating,,20,"0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.80,0.80,0.20,1.00",,0.95,
ceramic glass coating for cars,,20,"0.25,0.00,1.00,0.50,0.25,1.00,0.25,0.50,0.25,0.25,0.25,0.00",,0.00,
ceramic non stick coating,,20,"0.25,0.25,1.00,0.75,0.25,0.25,0.75,0.50,1.00,0.25,0.75,0.25",,0.00,
ceramic paint coating,,20,"0.43,0.71,0.29,0.14,0.14,0.14,0.14,0.14,0.43,0.14,1.00,0.14",,2.25,
ceramic powder coating,,20,"1.00,0.20,0.20,0.40,0.40,0.20,0.80,0.20,0.40,0.20,0.40,0.20",,0.00,
ceramic spray coating,,20,"0.40,0.20,0.80,0.20,0.20,0.40,0.20,0.60,0.20,1.00,0.20,0.40",,0.85,
ceramic window coating,,20,"0.00,0.00,0.00,0.00,1.00,0.44,0.00,0.22,0.11,0.00,0.22,0.11",,0.00,
chemical guys ceramic coating,,20,"0.11,0.22,0.11,0.11,0.11,0.11,1.00,0.33,0.11,0.22,0.44,0.33",,0.00,
cquartz ceramic coating,,20,"0.14,0.14,0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.14,1.00",,0.00,
diamond brite ceramic coating,,20,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00",,1.68,
diamond ceramic coating,,20,"1.00,0.40,0.20,0.20,0.40,0.20,0.60,0.20,0.20,0.20,0.20,0.20",,1.12,
diy ceramic coating car,,20,"0.40,0.20,0.60,0.20,0.40,1.00,0.60,0.60,0.60,0.20,0.80,0.20",,0.00,
dubai ceramic coating,,20,"1.00,0.14,0.29,0.14,0.29,0.43,0.14,0.57,0.14,0.14,0.14,0.14",,3.97,
exhaust ceramic coating near me,,20,"0.14,0.14,0.29,0.43,0.14,0.14,0.43,0.14,0.29,0.14,1.00,0.29",,0.00,
exterior ceramic coating,,20,"0.00,0.20,1.00,1.00,0.20,0.60,0.40,0.20,0.20,0.20,1.00,0.00",,0.00,
feynlab ceramic coating review,,20,"0.11,0.11,0.11,0.11,0.11,0.33,1.00,0.22,0.11,0.22,0.11,0.11",,0.00,
graphene vs ceramic coating,,20,"0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.43,0.57,0.29",,0.00,
gtechniq ceramic coating,,20,"0.14,0.14,0.57,0.14,1.00,0.14,0.71,0.14,0.29,0.14,0.14,0.14",,2.06,
gyeon ceramic coating price,,20,"0.29,0.14,0.14,1.00,0.43,0.14,0.29,0.29,0.71,0.43,0.14,0.14",,0.00,
gyeon ceramic coating review,,20,"0.33,0.33,0.33,0.33,0.67,0.33,0.33,0.33,0.67,1.00,0.33,1.00",,0.00,
high temp ceramic coating,,20,"0.00,0.22,1.00,0.00,0.44,0.11,0.00,0.00,0.11,0.11,0.00,0.11",,0.00,
how ceramic coating works,,20,"0.14,0.14,0.14,0.43,0.43,1.00,0.14,0.29,0.57,0.14,0.29,0.14",,0.00,
how long does ceramic coating last,,20,"0.20,0.20,0.20,0.80,0.40,0.20,1.00,0.40,0.20,0.20,0.20,0.40",,1.76,
how much does ceramic coating cost,,20,"0.60,0.40,1.00,0.20,0.20,1.00,0.20,0.40,0.20,0.20,0.40,0.20",,1.18,
how to apply ceramic coating,,20,"0.20,0.20,0.40,0.40,0.20,0.40,0.20,1.00,0.20,0.20,0.20,0.20",,0.00,
how to apply nano ceramic coating,,20,"1.00,0.25,0.25,0.50,0.25,0.50,0.25,0.25,1.00,0.25,0.25,0.25",,0.00,
how to maintain ceramic coated car,,20,"0.20,0.20,0.40,0.40,0.20,1.00,1.00,0.20,0.20,0.20,0.20,0.20",,0.00,
how to wash car with ceramic coating,,20,"0.50,0.75,0.25,0.25,1.00,0.50,0.25,0.25,0.25,0.25,0.25,0.25",,0.00,
how to wash ceramic coated car,,20,"0.33,0.11,0.11,0.11,0.33,0.22,0.11,0.11,1.00,0.11,0.11,0.56",,0.00,
interior ceramic coating,,20,"0.20,0.20,0.20,1.00,0.20,0.20,0.60,0.20,0.20,0.60,0.20,0.20",,2.30,
is ceramic coated cookware safe,,20,"0.40,1.00,0.20,0.20,0.20,0.60,0.40,0.40,0.20,0.20,0.20,0.20",,0.00,
is ceramic coating worth it,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00",,2.57,
japan ceramic coating,,20,"0.80,0.20,0.20,0.20,0.20,0.20,0.40,0.80,1.00,0.20,0.40,0.20",,0.00,
kenzo ceramic coating,,20,"0.11,0.11,0.00,0.56,0.11,0.22,0.00,0.22,0.00,0.11,1.00,0.00",,0.00,
labocosmetica ceramic coating,,20,"0.40,0.20,0.20,0.40,0.20,0.20,1.00,0.20,0.20,0.20,0.40,0.20",,0.00,
nano ceramic coating abu dhabi,,20,"0.14,0.14,0.14,0.14,0.14,0.29,0.14,0.43,0.14,0.14,0.14,1.00",,2.10,
nano ceramic coating dubai,,20,"0.14,1.00,0.29,0.14,0.29,0.14,0.29,0.14,0.29,0.29,0.14,0.14",,3.74,
nano ceramic coating dubai price,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.71,0.14",,1.68,
nano ceramic coating for cars,,20,"1.00,0.14,0.14,0.14,0.14,0.43,0.14,0.57,0.14,0.14,0.29,0.14",,2.30,
nano ceramic coating price,,20,"0.22,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11",,2.19,
nano ceramic coating sharjah,,20,"0.20,0.60,0.20,0.20,1.00,0.60,0.20,0.40,0.20,0.20,0.20,0.20",,1.58,
ppf ceramic coating,,20,"0.14,0.14,0.14,0.14,1.00,0.14,0.71,0.29,0.29,0.14,0.29,0.29",,2.82,
ppf or ceramic coating,,20,"0.75,0.25,0.25,1.00,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25",,3.33,
ppf vs ceramic coating,,20,"0.11,0.11,0.33,0.11,0.11,1.00,0.11,0.11,0.33,0.11,0.11,0.22",,3.46,
pros and cons of ceramic coating,,20,"0.00,0.11,0.00,0.00,0.00,0.11,1.00,0.78,0.22,0.00,0.00,0.00",,0.00,
self healing ceramic coating,,20,"0.40,0.20,0.20,0.20,1.00,0.40,0.40,0.60,0.20,0.20,0.60,0.20",,0.00,
system x ceramic coating,,20,"0.20,0.20,1.00,1.00,0.20,0.20,0.80,0.80,0.20,0.40,0.20,0.20",,1.22,
system x ceramic coating reviews,,20,"0.20,1.00,0.20,0.20,0.20,0.20,0.60,0.60,0.20,0.20,0.20,0.20",,0.00,
system x pro ceramic coating,,20,"0.14,0.14,1.00,0.43,0.43,0.29,0.14,0.29,0.14,0.14,0.71,0.29",,0.00,
teflon coating vs ceramic coating,,20,"0.20,0.20,0.20,0.20,0.20,1.00,0.20,0.20,0.20,0.20,0.20,1.00",,0.00,
ziebart ceramic coating,,20,"0.14,0.43,0.14,0.29,0.14,0.43,0.14,0.14,0.14,1.00,0.14,0.14",,0.00,
12h ceramic coating,,10,"0.00,0.00,0.00,0.20,0.00,0.00,0.00,0.60,0.00,0.00,0.00,1.00",,0.00,
advantage and disadvantage of ceramic coating,,10,"0.67,0.33,0.67,0.33,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.33",,0.00,
aluminium ceramic coating,,10,"0.00,0.22,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.22,1.00,0.00",,0.00,
angelwax ceramic coating,,10,"0.50,0.00,0.00,0.00,1.00,0.00,0.00,0.50,0.50,0.00,0.00,0.50",,0.00,
auto ceramic coating reviews,,10,"0.00,1.00,0.33,0.00,0.00,0.00,0.33,0.33,0.00,0.33,0.67,0.00",,0.00,
automotive ceramic coating near me,,10,"0.00,1.00,0.00,0.00,0.00,0.00,0.43,0.57,0.00,0.14,0.00,0.00",,0.00,
benefits of ceramic coating car,,10,"0.40,0.00,1.00,0.00,0.00,0.00,0.20,1.00,0.00,0.20,0.20,0.00",,0.00,
best automotive ceramic coating,,10,"0.00,0.00,1.00,0.00,0.00,0.57,0.00,0.00,0.00,0.00,0.00,0.00",,0.00,
best ceramic coating,,10,"1.00,0.25,0.25,0.50,0.25,0.25,0.25,0.25,0.25,0.25,0.50,0.25",,1.98,
best ceramic coating for cars,,10,"0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.75,0.25,0.25,0.25,0.25",,2.44,
best ceramic paint coating,,10,"0.50,0.50,0.00,0.50,0.50,0.50,1.00,0.00,0.50,0.00,0.50,0.00",,0.00,
