Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
ppf paint protection,"Informational, Transactional",170,"0.01,0.01,0.01,0.01,0.01,0.05,0.19,0.24,1.00,1.00,0.01,0.01",35,3.18,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Knowledge panel, Related searches"
3m ppf,Informational,140,"0.67,0.52,0.43,0.52,1.00,0.52,0.52,0.43,0.52,0.67,0.43,0.67",41,3.40,"Sitelinks, Video, People also ask, Related searches"
car ppf near me,Commercial,140,"0.34,0.44,0.28,0.22,0.44,0.34,0.28,1.00,0.34,0.34,0.44,0.16",28,4.55,"Sitelinks, Image, Video, People also ask, Local pack, Related searches"
post office ppf calculator,Informational,140,"0.65,0.82,1.00,0.82,1.00,1.00,0.82,1.00,0.82,0.65,0.82,0.82",29,0.00,"Video, People also ask, Related searches"
postal ppf calculator,Informational,140,"0.65,0.82,1.00,0.82,1.00,1.00,0.82,1.00,0.82,0.65,0.82,0.82",26,1.65,"Video, People also ask, Related searches"
ppf account,Informational,140,"0.82,0.82,1.00,1.00,0.82,0.65,0.82,0.65,1.00,1.00,1.00,1.00",31,2.22,"AI Overview, Video, Video carousel, People also ask, Related searches"
ppf film,Informational,140,"0.01,0.01,0.01,0.01,0.01,0.07,0.19,0.54,1.00,0.29,0.01,0.01",14,3.18,"AI Overview, Video, Video carousel, People also ask, Related searches"
ppf full form,Informational,140,"1.00,1.00,0.79,1.00,1.00,0.79,0.79,0.79,1.00,0.64,0.64,0.79",30,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
matte ppf,Informational,110,"0.82,1.00,0.82,0.82,0.64,0.82,1.00,1.00,1.00,1.00,0.82,0.82",3,3.04,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
ppf calculator online sbi,Informational,110,"0.53,0.65,0.82,0.53,1.00,0.53,0.53,0.53,0.65,0.53,0.53,0.53",28,1.26,"Video, People also ask, Related searches"
ppf calculator sbi,Informational,110,"0.53,0.65,0.82,0.53,1.00,0.53,0.53,0.53,0.65,0.53,0.53,0.53",32,2.08,"Video, People also ask, Related searches"
stek ppf,Informational,110,"0.53,0.53,0.65,0.53,0.53,0.82,0.65,0.41,0.82,1.00,0.82,0.82",7,2.46,"Video, Video carousel, Short videos, People also ask, Related searches"
what is ppf,Informational,110,"1.00,0.79,0.79,0.79,1.00,1.00,0.79,0.79,0.79,1.00,0.64,0.79",21,2.08,"Featured snippet, Video, Video carousel, People also ask, Related searches"
ppf economics,Informational,90,"0.42,0.12,0.08,0.19,1.00,0.65,0.42,0.19,0.54,0.42,0.27,0.35",25,0.00,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
ppf wrap,Informational,70,"0.11,0.78,0.22,0.33,0.11,0.11,1.00,0.11,0.11,1.00,0.11,0.44",14,3.57,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
ppf coating price,Informational,50,"0.12,0.41,0.06,0.06,0.06,0.12,0.06,1.00,0.06,0.06,0.06,0.12",15,2.40,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
ppf graph,Informational,40,"0.03,0.03,0.03,0.08,0.03,1.00,0.03,0.03,0.03,0.05,0.10,0.03",24,0.00,"AI Overview, Image, Video, Video carousel, Short videos, People also ask, Related searches"
ppf interest rate in india,,40,"0.22,0.22,0.11,1.00,1.00,0.33,0.11,0.22,0.22,0.56,0.33,0.44",,0.00,
ppf to pdf,Informational,40,"0.04,0.04,0.04,0.08,0.04,0.04,0.04,0.19,0.04,0.12,1.00,0.04",43,0.03,"Video, People also ask, Related searches"
3m ppf cost,Informational,30,"0.14,0.29,0.14,0.14,1.00,0.57,0.43,0.14,0.71,0.29,0.71,0.14",16,2.10,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
3m ppf vs xpel,Informational,30,"0.78,1.00,0.11,0.22,0.11,0.11,0.56,0.11,0.11,0.11,0.11,0.11",7,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
axis bank ppf,Informational,30,"1.00,0.33,0.33,0.11,0.22,0.56,0.11,0.11,0.22,0.33,0.11,0.11",27,0.00,"Video, Video carousel, People also ask, Related searches"
axis ppf,Informational,30,"0.29,0.57,0.14,0.57,0.29,1.00,0.14,0.14,0.14,0.14,0.14,0.14",26,0.00,"Video, Video carousel, People also ask, Related searches"
axis ppf account,Informational,30,"0.78,0.56,0.11,0.56,0.22,1.00,0.33,0.11,0.11,0.11,0.11,0.22",32,0.00,"Video, People also ask"
best ppf film,,30,"0.11,0.11,0.33,0.56,0.44,0.11,0.11,0.56,0.22,0.22,0.11,1.00",,2.63,
can nri invest in ppf,,30,"0.11,0.11,0.22,0.22,1.00,0.11,0.56,0.22,0.22,0.11,1.00,0.11",,0.00,
ceramic coating vs ppf,Informational,30,"0.14,1.00,0.14,0.14,0.71,0.29,0.14,0.57,0.29,0.14,0.43,0.14",10,2.79,"Sitelinks, AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
how much to ppf a car,,30,"0.11,1.00,0.56,0.11,0.11,0.22,0.11,0.11,1.00,0.22,0.44,0.11",,0.00,
how to close ppf account in sbi,,30,"0.11,0.11,0.11,0.22,0.11,0.78,0.11,0.11,0.22,1.00,0.78,0.22",,0.00,
how to invest in ppf,,30,"1.00,0.33,0.11,0.11,0.56,0.11,0.11,0.11,0.11,0.11,0.33,0.78",,0.00,
how to open ppf account,,30,"0.56,0.22,0.11,0.11,0.11,0.44,0.11,0.11,0.44,0.11,1.00,0.11",,1.69,
indian post office ppf calculator,,30,"0.56,0.44,0.11,1.00,0.11,0.33,0.11,0.11,0.33,0.11,0.11,0.11",,0.00,
norm ppf,,30,"0.22,0.11,0.11,1.00,0.11,0.22,0.33,0.78,0.11,0.11,0.11,0.11",,0.00,
open ppf account online sbi,,30,"0.14,0.14,0.71,0.14,0.14,0.14,1.00,0.14,0.71,1.00,0.29,0.14",,0.00,
post office ppf account online,,30,"0.22,0.78,1.00,0.11,0.11,0.44,0.11,0.56,0.11,0.44,0.11,0.11",,0.00,
ppf account login,,30,"1.00,0.11,0.11,0.56,0.33,0.56,1.00,0.11,0.11,0.11,0.11,0.11",,0.00,
ppf account opening in post office,,30,"0.78,0.11,0.11,0.11,0.11,0.11,0.44,0.11,0.11,0.22,1.00,0.11",,0.00,
ppf and opportunity cost,,30,"0.11,0.11,0.22,0.11,0.56,0.11,0.11,0.78,0.11,1.00,0.11,0.11",,0.00,
ppf car film,,30,"0.11,0.78,0.11,0.11,0.11,0.33,0.11,0.11,1.00,0.11,1.00,0.11",,0.00,
ppf cutting machine,,30,"0.11,0.11,0.22,0.11,0.11,0.11,0.22,1.00,0.11,0.44,0.22,0.56",,0.39,
ppf cutting software,"Informational, Transactional",30,"0.78,0.11,0.11,0.11,0.22,0.78,0.11,1.00,0.11,0.33,0.33,0.11",7,0.93,"Image pack, Video, Video carousel"
ppf diagram economics,,30,"0.11,0.11,0.56,0.11,0.11,0.44,0.78,0.11,1.00,0.11,0.11,0.11",,0.00,
ppf eligibility,,30,"0.14,0.14,0.71,0.14,0.14,1.00,0.43,0.14,0.14,0.14,0.71,0.57",,0.00,
ppf example,,30,"0.29,0.57,0.29,0.14,0.14,0.43,1.00,0.71,0.29,0.29,0.14,0.14",,0.00,
ppf interest rate history,,30,"1.00,0.57,0.43,0.43,0.29,0.14,1.00,0.29,0.14,1.00,0.14,0.14",,0.00,
ppf maximum limit,,30,"0.11,0.11,0.22,1.00,0.11,0.11,0.11,0.44,0.78,1.00,0.11,0.11",,0.00,
ppf news,,30,"0.14,0.29,0.57,0.29,0.14,0.14,1.00,0.14,1.00,0.43,0.43,0.14",,0.00,
ppf online,,30,"1.00,0.11,0.11,0.33,0.11,0.11,0.78,0.11,0.11,0.44,0.11,0.11",,0.00,
ppf or ceramic,,30,"0.14,0.71,0.14,1.00,0.29,1.00,0.14,0.14,0.00,0.71,0.43,0.00",,0.00,
ppf paint protection film,Informational,30,"0.14,0.29,0.14,0.14,0.43,0.14,0.71,0.29,0.14,0.71,0.29,1.00",12,3.13,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Knowledge panel, Related searches"
ppf pipe,,30,"0.11,0.11,0.11,1.00,0.33,0.11,0.11,0.56,0.44,0.22,0.11,0.11",,0.00,
ppf plan,,30,"0.11,0.11,0.11,0.11,0.11,0.78,0.11,0.11,0.33,0.11,0.44,1.00",,1.53,
ppf uae,Informational,30,"1.00,0.11,0.11,0.11,0.56,0.22,0.11,0.22,0.78,0.11,0.56,0.11",22,3.81,"Video, People also ask, Related searches"
ppf withdrawal,,30,"0.43,0.14,0.29,0.14,0.14,0.57,0.14,1.00,0.14,0.71,0.14,0.71",,0.00,
ppf معنى,,30,"0.11,1.00,0.11,0.22,0.33,0.11,0.11,0.33,0.56,0.11,0.56,0.33",,0.00,
sbi ppf account interest rate,,30,"0.71,0.14,0.57,0.14,1.00,0.43,0.14,0.14,0.71,0.71,0.29,0.29",,0.00,
sbi ppf interest rate,,30,"0.11,0.11,0.11,0.33,0.11,0.11,0.11,0.78,0.11,0.22,1.00,0.22",,0.00,
sbi ppf online,,30,"0.14,0.14,0.14,0.14,0.71,0.14,1.00,0.57,0.14,0.14,1.00,0.14",,0.00,
suntek ppf dubai,Informational,30,"0.78,0.78,0.11,0.44,0.11,1.00,0.11,0.11,0.11,0.22,0.11,0.33",9,4.46,"Sitelinks, Video, Video carousel, People also ask, Knowledge panel, Related searches"
tok ppf,,30,"0.11,0.11,0.33,0.11,0.33,0.11,1.00,0.11,0.33,0.11,0.56,0.56",,0.00,
v kool ppf,Informational,30,"0.11,0.22,0.11,0.11,0.11,0.11,0.78,0.11,0.11,1.00,0.33,0.11",9,2.34,"Sitelinks, Video, Video carousel, Short videos, People also ask, Related searches"
vehicle ppf,Informational,30,"0.11,0.11,0.11,0.11,1.00,0.11,0.11,1.00,0.22,0.11,0.22,0.78",28,3.62,"AI Overview, Video, Video carousel, People also ask, Local pack, Related searches"
xpel ppf cleaner,,30,"0.11,0.11,0.11,0.22,1.00,0.11,0.11,0.11,0.22,0.11,1.00,0.56",,0.00,
4.5 12.6 ppf tubing id,,20,"0.25,0.25,0.50,0.25,0.25,0.50,1.00,0.25,0.25,0.25,0.50,0.25",,0.00,
avery dennison ppf review,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.22,0.22,1.00,0.11,0.33",,3.48,
axis bank ppf account,,20,"0.29,1.00,0.14,0.14,0.14,0.14,0.14,0.43,0.14,0.71,0.14,0.14",,0.00,
bank of baroda ppf account,,20,"0.20,0.40,1.00,0.20,0.20,0.20,0.40,0.40,0.20,1.00,0.20,0.20",,0.00,
bank of baroda ppf calculator,,20,"0.11,1.00,0.11,0.22,0.33,0.11,0.44,0.11,0.11,0.11,0.11,0.11",,0.00,
bank of india ppf interest rate,,20,"0.00,1.00,0.11,0.00,0.33,0.00,0.33,0.11,0.44,0.00,0.11,0.00",,0.00,
bodyfence ppf review,,20,"0.14,0.14,0.14,0.14,0.14,1.00,0.43,0.71,0.14,0.14,0.14,0.14",,0.00,
bowed out ppf,,20,"0.00,0.00,0.20,0.40,0.20,1.00,1.00,0.00,0.00,0.60,0.40,0.00",,0.00,
can we open ppf account online,,20,"0.20,1.00,0.20,0.20,0.80,0.00,0.00,0.00,0.20,1.00,0.20,0.00",,0.00,
car wrap ppf,,20,"0.14,0.29,1.00,0.29,0.14,0.14,0.14,0.14,0.43,0.14,0.14,0.14",,0.00,
ceramic coating on ppf,,20,"0.40,0.20,0.20,1.00,0.20,0.80,0.20,0.20,0.20,0.40,0.20,0.00",,0.00,
current ppf interest rate,,20,"1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.43,0.14,0.14,0.71,0.14",,0.00,
define ppf in economics,,20,"0.29,0.29,0.43,1.00,0.14,0.14,0.14,0.14,0.29,0.43,0.14,0.14",,0.00,
hdfc ppf,,20,"0.43,0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.57",,0.00,
hdfc ppf account,,20,"0.20,0.20,0.40,0.60,0.20,0.40,0.20,0.20,0.20,0.20,0.20,1.00",,0.00,
hdfc ppf interest rate,,20,"0.20,0.20,1.00,0.40,0.20,0.20,0.40,0.40,0.20,0.20,1.00,0.20",,0.00,
how does ppf work,,20,"0.40,0.20,0.20,0.60,0.60,0.20,1.00,0.20,0.20,0.40,0.20,0.20",,0.00,
how ppf works,,20,"1.00,0.20,1.00,0.20,0.20,1.00,0.20,0.20,0.00,0.20,0.20,0.00",,0.00,
how to calculate opportunity cost ppf,,20,"0.25,1.00,0.25,0.25,0.25,0.75,0.25,0.25,1.00,0.25,0.25,0.75",,0.00,
how to open ppf account in hdfc,,20,"0.14,0.14,0.14,0.43,0.29,0.43,1.00,0.14,0.14,0.14,0.14,0.14",,0.00,
how to open ppf account in post office,,20,"0.25,0.50,0.50,0.25,0.25,0.25,0.75,0.50,1.00,0.25,0.25,0.25",,0.00,
how to open ppf account in sbi,,20,"0.14,0.14,0.14,0.29,0.57,0.14,0.43,0.14,1.00,0.14,0.14,0.43",,0.00,
how to open ppf account in sbi online,,20,"0.40,0.20,0.20,1.00,0.20,0.20,0.20,0.40,0.20,0.40,0.20,0.20",,0.00,
how to remove ppf,,20,"0.11,0.22,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.11",,0.00,
icici ppf,,20,"0.14,0.29,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14",,0.00,
icici ppf interest rate,,20,"0.25,0.50,0.25,0.25,0.25,0.25,0.25,0.25,0.25,1.00,0.50,0.50",,0.00,
indian bank ppf account,,20,"0.14,0.14,0.14,0.00,0.14,0.43,0.00,0.14,1.00,0.43,0.00,0.00",,0.00,
indian post office ppf,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,
indian postal ppf calculator,,20,"0.11,0.44,1.00,0.11,0.11,0.11,0.22,0.11,0.11,0.11,0.11,0.11",,0.00,
is ppf really worth it,,20,"0.25,0.00,0.75,0.25,0.25,0.25,0.25,0.50,0.25,1.00,1.00,0.00",,0.00,
is ppf worth it,,20,"0.14,0.14,0.29,0.14,0.29,0.43,0.57,0.14,0.43,1.00,0.14,0.14",,4.25,
kavaca ppf,,20,"0.20,0.20,0.20,0.20,0.40,0.40,0.20,1.00,0.20,0.20,0.40,0.00",,0.00,
kdx ppf,,20,"0.14,0.14,0.14,0.14,0.14,0.14,0.43,0.29,0.14,0.43,1.00,0.14",,1.93,
latest ppf interest rate,,20,"0.25,1.00,0.75,0.25,0.25,0.50,1.00,0.50,0.25,0.50,0.25,0.25",,0.00,
llumar ppf,,20,"0.43,0.29,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.29,0.43",,3.41,
mactac ppf,,20,"0.11,1.00,0.11,0.22,0.78,0.11,0.11,0.11,0.11,0.22,0.11,0.11",,0.00,
matt ppf,,20,"0.43,0.29,0.14,0.14,0.29,0.14,0.14,0.14,0.14,1.00,0.14,0.14",,4.27,
nri can open ppf account,,20,"0.40,0.20,0.20,0.20,0.20,0.20,0.20,0.20,0.40,0.20,0.40,1.00",,0.00,
nri can open ppf account in india,,20,"0.40,0.40,0.20,0.20,0.20,0.20,0.60,1.00,0.20,0.20,0.20,0.40",,0.00,
open ppf,,20,"0.71,0.14,0.14,0.14,0.29,0.29,0.00,0.14,0.71,0.14,1.00,0.00",,0.00,
post office ppf online,,20,"0.60,0.40,0.20,0.20,0.20,0.40,0.20,0.40,0.20,0.20,1.00,0.20",,0.00,
post office ppf scheme,,20,"0.20,0.20,0.20,0.60,0.20,0.20,0.20,1.00,0.20,0.80,0.20,0.20",,0.00,
ppf account calculator,,20,"0.20,0.60,1.00,0.20,0.20,0.40,0.20,0.40,0.20,0.20,0.20,0.20",,0.00,
ppf account calculator sbi,,20,"0.60,0.20,0.20,0.20,0.20,0.20,0.40,0.40,1.00,0.40,0.20,0.60",,0.00,
ppf account details,,20,"0.40,0.20,0.20,0.60,0.40,0.40,0.20,0.80,0.20,0.20,1.00,0.20",,0.00,
ppf account for nri,,20,"0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.29,0.14,1.00,0.14,0.14",,0.00,
ppf account in union bank of india,,20,"0.67,1.00,0.33,0.33,0.67,0.67,1.00,0.33,0.33,0.33,0.33,1.00",,0.00,
ppf account interest rate,,20,"0.14,0.14,0.14,0.14,0.29,0.14,0.14,0.14,0.29,1.00,0.14,0.14",,0.00,
ppf account online,,20,"0.20,0.20,1.00,0.20,0.60,0.20,0.20,0.20,1.00,0.20,0.20,0.20",,1.83,
ppf account opening,,20,"0.25,0.25,0.75,0.50,0.25,0.25,0.25,0.25,0.25,1.00,0.25,0.25",,2.34,
ppf account rules,,20,"0.20,0.40,0.20,0.20,0.20,0.20,0.20,1.00,0.80,0.20,0.20,0.20",,0.00,
ppf after 15 years,,20,"0.20,0.20,0.20,0.80,0.20,0.20,0.20,1.00,0.20,0.40,0.20,0.80",,0.00,
ppf bank of baroda,,20,"0.80,0.20,0.20,0.80,0.20,0.20,0.60,1.00,0.80,0.20,0.20,0.60",,0.00,
ppf benefits,,20,"0.14,0.14,0.14,0.14,0.43,0.14,0.14,0.14,0.14,0.14,0.43,1.00",,1.32,
ppf calculator axis bank,,20,"0.50,0.25,0.25,1.00,0.50,0.75,0.25,0.25,0.25,0.25,0.25,0.25",,0.00,
ppf calculator excel,,20,"0.14,0.14,0.14,0.29,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00",,0.00,
ppf calculator icici,,20,"0.29,0.14,0.43,1.00,0.14,0.43,0.14,0.14,0.14,0.57,0.14,0.14",,0.00,
ppf calculator icici bank,,20,"0.14,0.14,0.14,0.14,0.29,1.00,0.71,0.14,0.14,0.71,0.14,0.14",,0.00,
ppf car cost,,20,"0.14,1.00,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.29,0.57,0.14",,0.00,
ppf ceramic coating,,20,"0.14,0.14,0.14,0.14,1.00,0.14,0.71,0.29,0.29,0.14,0.29,0.29",,2.82,
ppf chart,,20,"0.11,0.11,0.11,0.11,1.00,0.11,0.22,0.33,0.56,0.11,0.11,0.11",,0.00,
ppf coating cost,,20,"0.14,0.71,0.29,0.14,0.14,0.14,0.14,0.14,0.43,0.29,0.14,1.00",,0.00,
ppf company,,20,"0.25,0.25,0.75,0.25,0.75,0.25,0.50,0.25,0.25,0.75,1.00,0.25",,3.13,
ppf cost,,20,"0.11,0.11,0.22,0.11,0.22,0.11,0.22,0.11,1.00,0.11,0.11,0.11",,2.54,
ppf curve,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.33,0.11,0.11,1.00,0.22",,0.00,
ppf deposit limit,,20,"0.20,1.00,0.20,0.20,0.40,0.20,0.60,0.20,0.40,0.20,0.20,0.60",,0.00,
ppf distributor,,20,"0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.33,0.22,0.11,0.11",,0.00,
ppf film car,,20,"0.50,1.00,1.00,0.25,0.50,0.25,0.50,0.75,0.25,0.25,0.25,0.75",,0.00,
ppf for sale,,20,"0.11,0.11,0.33,0.11,0.22,1.00,0.11,0.11,0.11,0.11,0.22,0.22",,0.00,
ppf graph economics,,20,"0.40,0.20,0.60,0.20,0.20,0.40,0.80,1.00,0.20,0.20,0.20,0.20",,0.00,
ppf headlight,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.44",,1.85,
ppf in indian bank,,20,"0.11,0.11,1.00,0.11,0.22,0.00,0.11,0.00,0.11,0.11,0.22,0.00",,0.00,
ppf installation,,20,"0.20,0.20,0.40,0.80,0.20,0.40,0.20,0.80,0.20,0.80,1.00,0.20",,3.75,
ppf installation cost,,20,"0.11,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11,0.78",,0.00,
ppf installation gel,,20,"0.20,0.20,0.20,0.60,0.60,0.20,0.20,0.20,0.20,0.20,1.00,0.20",,0.00,
ppf installers near me,,20,"0.14,0.14,0.14,1.00,0.14,1.00,0.00,0.29,0.00,0.14,0.00,0.00",,0.00,
ppf interest calculator,,20,"1.00,0.40,0.20,0.60,0.80,0.20,0.20,0.20,0.20,0.80,0.20,0.20",,0.00,
ppf interest rate hdfc,,20,"0.20,0.20,0.20,0.20,0.80,0.20,0.60,1.00,0.40,0.20,1.00,0.20",,0.00,
ppf intrest rate,,20,"0.75,0.25,0.25,0.25,0.50,0.25,0.50,0.25,0.50,0.25,1.00,0.25",,0.00,
ppf investment for nri,,20,"0.20,0.20,1.00,0.00,0.20,1.00,0.20,0.00,0.20,0.40,0.40,0.00",,0.00,
ppf limit per year,,20,"0.22,1.00,0.11,0.11,0.33,0.11,0.33,0.11,0.11,0.11,0.11,0.11",,0.00,
ppf login,,20,"0.14,0.43,0.14,0.29,0.43,0.14,0.14,0.14,0.14,0.14,1.00,0.14",,0.00,
ppf material,,20,"0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14,0.14,0.14,0.14,0.14",,1.19,
ppf maturity,,20,"0.14,0.57,0.14,0.14,1.00,0.43,0.43,0.14,0.14,0.14,0.14,0.29",,0.00,
ppf medical abbreviation,,20,"0.11,0.00,0.11,0.78,0.11,0.11,0.11,0.00,0.11,1.00,0.11,0.00",,0.00,
ppf minimum amount,,20,"0.14,0.71,0.14,0.14,1.00,0.29,0.14,0.14,0.14,0.14,0.14,0.43",,0.00,
ppf o matic,,20,"0.11,0.00,0.78,1.00,0.11,0.11,0.11,0.00,0.11,0.11,0.44,0.00",,0.00,
ppf online payment,,20,"0.14,0.14,0.14,1.00,0.43,0.14,0.14,0.57,0.71,0.14,0.29,0.14",,0.00,
ppf or ceramic coating,,20,"0.75,0.25,0.25,1.00,0.25,0.25,0.25,0.25,1.00,0.25,0.25,0.25",,3.33,
ppf packages,,20,"0.20,0.80,0.40,0.20,0.20,1.00,0.20,0.20,0.20,0.40,0.20,0.20",,0.00,
ppf paint protection film cost,,20,"0.11,0.11,0.11,0.11,0.11,0.22,0.11,0.11,1.00,0.11,0.78,0.33",,0.00,
ppf pension,,20,"0.43,0.14,0.14,0.43,0.29,0.14,0.14,0.14,0.14,1.00,0.14,0.14",,0.00,
ppf plastic,,20,"0.14,0.14,0.14,1.00,0.43,0.43,0.14,0.57,0.14,0.57,0.14,0.29",,0.00,
ppf protection,,20,"0.40,0.20,0.20,0.20,0.20,0.40,1.00,0.20,0.60,0.20,0.20,0.20",,3.86,
ppf protection car,,20,"0.20,0.20,1.00,0.20,0.20,0.20,0.60,0.20,0.20,0.20,0.20,0.20",,0.00,
ppf rate,,20,"0.22,0.11,0.11,0.56,0.11,1.00,0.22,0.11,0.44,0.11,0.11,0.11",,0.00,
ppf rates in india,,20,"0.57,0.14,0.29,0.14,1.00,0.29,0.14,0.14,0.43,0.29,0.29,0.43",,0.00,
ppf return calculator,,20,"0.11,0.11,0.11,0.11,0.33,1.00,0.22,0.11,0.33,0.22,0.11,0.11",,0.00,
ppf rules,,20,"0.67,0.33,0.33,0.33,0.33,0.67,0.67,1.00,0.67,0.33,0.33,0.33",,0.00,
ppf scheme,,20,"0.11,0.44,0.11,0.11,0.11,0.11,0.11,0.56,0.11,0.11,0.11,1.00",,1.53,
ppf tenure,,20,"0.14,0.14,0.71,0.14,1.00,0.14,0.14,1.00,0.14,0.14,0.14,0.14",,0.00,
ppf vs ceramic coating,,20,"0.11,0.11,0.33,0.11,0.11,1.00,0.11,0.11,0.33,0.11,0.11,0.22",,3.46,
ppf vs fd,,20,"0.25,0.25,0.25,0.50,0.25,0.25,0.75,0.25,0.25,0.25,0.25,1.00",,0.00,
ppf vs mutual fund,,20,"0.56,0.22,0.11,0.11,0.11,0.11,1.00,0.11,0.11,0.11,0.11,0.11",,0.00,
ppf vs vinyl wrap,,20,"0.20,1.00,0.80,0.20,0.20,0.20,0.40,0.60,0.20,0.40,0.20,0.40",,0.00,
ppf website,,20,"0.20,0.40,0.20,1.00,0.20,1.00,0.20,0.80,0.40,0.40,0.80,0.20",,0.00,
pre cut ppf,,20,"0.20,0.40,0.40,0.60,0.20,0.20,0.20,0.40,0.20,1.00,0.40,0.20",,2.00,
public provident fund ppf,,20,"0.14,0.43,0.14,0.14,0.14,0.14,0.14,0.14,0.14,0.14,1.00,0.14",,1.75,
sbi ppf account,,20,"0.60,0.20,0.20,0.20,0.40,0.20,0.20,0.20,0.20,1.00,0.20,0.60",,0.00,
sbi ppf account opening,,20,"0.20,0.20,0.40,0.20,0.40,0.20,0.20,0.20,0.20,0.20,1.00,0.40",,0.00,
sbi ppf account opening form,,20,"1.00,0.25,0.25,0.75,0.25,0.25,0.75,0.25,0.25,0.25,0.25,0.25",,0.00,
scotchgard ppf,,20,"0.33,0.67,0.33,0.33,1.00,0.33,0.67,0.33,1.00,1.00,0.33,0.33",,0.00,
state bank of india ppf,,20,"0.50,0.25,0.25,0.25,0.25,0.25,1.00,0.50,0.25,0.50,0.50,0.25",,0.00,
top ppf brands,,20,"0.14,0.14,0.14,0.14,0.29,1.00,0.14,0.14,0.14,0.71,0.14,0.14",,2.13,
what is ppf account,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.44,1.00,0.11,0.11,0.11,0.11",,0.00,
what is ppf account in sbi,,20,"0.14,1.00,0.14,1.00,0.14,0.43,0.14,0.14,0.14,0.14,0.14,0.14",,0.00,
what is ppf car,,20,"0.11,0.11,0.11,0.11,0.11,0.11,0.11,0.56,0.11,0.33,0.11,1.00",,0.00,
xpel ppf cost,,20,"0.71,0.29,0.57,0.14,1.00,0.14,0.29,0.43,0.14,0.14,0.14,0.14",,2.01,
