Keyword,Position,Previous position,Search Volume,Keyword Difficulty,CPC,URL,Traffic,Traffic (%),Traffic Cost,Competition,Number of Results,Trends,Timestamp,SERP Features by Keyword,Keyword Intents,Position Type
adnoc service,17,17,9900,35,1.27,https://easyauto.ae/business/adnoc-service-station-khalifa-city-766/,14,0.44,17.00,0,100,"30, 55, 67, 67, 67, 67, 67, 82, 82, 100, 100, 100",2026-06-25,"Local pack, Sitelinks, Reviews, People also ask, Related searches",transactional,Organic
avantgarde motors,3,3,210,7,0.00,https://easyauto.ae/business/avantgarde-motors/,14,0.44,0.00,0.04,120,"81, 100, 66, 81, 100, 81, 81, 66, 66, 34, 44, 34",2026-06-22,"Local pack, Reviews, Video, Video Carousel, People also ask, Related searches",commercial,Organic
fujairah recovery,10,10,1000,8,1.77,https://easyauto.ae/business/fujairah-recovery-ghurfa/,13,0.41,23.00,0.22,85,"46, 31, 31, 46, 100, 100, 84, 31, 38, 68, 46, 53",2026-05-13,"Local pack, Video, Image, Related searches",commercial,Organic
ag cars sharjah,1,1,590,19,0.93,https://easyauto.ae/business/ag-cars-services-sharjah/,13,0.41,12.00,0.14,356000,"82, 82, 67, 82, 82, 82, 100, 82, 82, 82, 82, 100",2026-05-13,"Knowledge panel, Sitelinks, Video, Image, Related searches, AI overview",navigational,AI overview
al ras,35,35,18100,36,0.00,https://easyauto.ae/business/al-ras-ref-devices-spare-parts-tr-al-ain/,12,0.38,0.00,0.04,117,"82, 82, 82, 82, 100, 100, 82, 100, 100, 67, 67, 67",2026-06-26,"Knowledge panel, Reviews, Video, Image, People also ask, Related searches, AI overview",navigational,Organic
dajla auto service center,6,6,320,16,0.00,https://easyauto.ae/business/dajla-car-washing-ajman/,12,0.38,0.00,0,18500,"36, 82, 100, 100, 82, 82, 82, 82, 100, 82, 67, 100",2026-05-17,"Knowledge panel, Video, People also ask, AI overview",informational,Organic
althana car wash & polishing,6,6,320,12,0.00,https://easyauto.ae/business/page/299/,12,0.38,0.00,0.04,661,"36, 54, 54, 54, 54, 54, 66, 81, 54, 54, 54, 100",2026-06-07,"Knowledge panel, Video, People also ask",informational,Organic
west city auto spare parts llc,3,3,140,12,0.00,https://easyauto.ae/business/west-city-auto-spare-parts-llc/,12,0.38,0.00,0.02,2270000,"67, 52, 43, 43, 67, 67, 100, 100, 81, 81, 67, 52",2026-06-26,"Knowledge panel, Reviews, Video, People also ask",informational,Organic
oh my car,9,9,880,19,0.80,https://easyauto.ae/business/oh-my-car/,11,0.35,8.00,0.04,87,"100, 100, 67, 100, 67, 100, 100, 82, 100, 100, 100, 82",2026-05-15,"Knowledge panel, Video, People also ask, Related searches","informational, transactional",Organic
سكراب جوي,6,6,320,23,0.00,https://easyauto.ae/business/joy-scrap/,9,0.28,0.00,0.33,105,"44, 44, 54, 54, 67, 67, 81, 100, 81, 67, 100, 100",2026-06-13,"Knowledge panel, Image pack, Sitelinks, Reviews, Video, Image",informational,Organic
al mubasher garage,8,8,320,19,0.00,https://easyauto.ae/business/al-mubashir-auto-repair-llc/,9,0.28,0.00,0.02,101,"100, 82, 82, 54, 82, 67, 82, 67, 82, 67, 67, 82",2026-06-16,"Local pack, Reviews, Video, Related searches",commercial,Organic
al yousuf motors,21,21,6600,23,0.95,https://easyauto.ae/business/al-yousuf-motors-ras-al-khaimah/,9,0.28,8.00,0.06,116,"54, 54, 67, 67, 81, 81, 100, 100, 81, 67, 81, 81",2026-06-23,"Local pack, Reviews, Video, Image, Video Carousel, Related searches",commercial,Organic
humaid ali,8,8,320,8,0.00,https://easyauto.ae/business/humaid-ali-trading-al-quoz-hyundaikiahondasuzukimazda-spare-parts/,9,0.28,0.00,0.02,86,"67, 67, 67, 67, 54, 67, 81, 100, 81, 67, 67, 67",2026-06-20,"Image pack, Video, Related searches",informational,Organic
palatty traders llc,10,10,720,12,0.00,https://easyauto.ae/business/palatty-traders-llc-br/,9,0.28,0.00,0.02,50,"82, 100, 82, 82, 100, 82, 82, 82, 100, 67, 82, 82",2026-05-15,"Local pack, Related searches",commercial,Organic
oldtimer motorcycles,10,10,320,17,0.00,https://easyauto.ae/business/oldtimer-motorcycles/,9,0.28,0.00,0.05,79,"54, 54, 54, 44, 44, 54, 67, 81, 100, 100, 100, 100",2026-05-14,"Knowledge panel, Video, Image, People also ask","informational, transactional",Organic
munich auto parts trading llc german car parts uae,8,8,1600,18,0.00,https://easyauto.ae/business/munich-auto-parts-trading-llc-german-car-parts-uae/,9,0.28,0.00,0.04,104,"68, 84, 68, 84, 84, 84, 100, 84, 84, 84, 84, 68",2026-05-14,"Knowledge panel, Image, Related searches",navigational,Organic
burj khaibar cars auction,6,6,210,27,0.42,https://easyauto.ae/business/burj-khaibar-cars-auctions-branch-1/,8,0.25,3.00,0.1,107,"81, 81, 65, 81, 100, 100, 100, 81, 54, 65, 65, 54",2026-06-03,"Local pack, Video, Video Carousel, Related searches",commercial,Organic
epic repair a car,4,4,590,13,0.00,https://easyauto.ae/business/epic-repair-a-car/,8,0.25,0.00,0.03,69,"82, 67, 67, 82, 82, 67, 82, 100, 82, 82, 67, 54",2026-05-15,"Knowledge panel, Sitelinks, Video, Image, People also ask",navigational,Organic
automall dfc,3,3,480,19,0.44,https://easyauto.ae/business/al-futtaim-automall-dubai-festival-city/,8,0.25,3.00,0.37,115,"81, 66, 66, 81, 100, 81, 100, 100, 100, 100, 66, 81",2026-06-14,"Knowledge panel, Sitelinks, Reviews, Video, Related searches",navigational,Organic
al khataf shop,7,7,210,22,0.00,https://easyauto.ae/business/al-khataf-car-accessories/,8,0.25,0.00,0.02,6460000,"24, 12, 15, 10, 15, 19, 29, 24, 36, 100, 12, 54",2026-06-22,"Knowledge panel, Reviews, Video",informational,Organic
enoc petrol station jvc,1,1,4400,18,0.00,https://easyauto.ae/business/enoc-1077-jvc/,8,0.25,0.00,0,104,"0, 0, 0, 0, 0, 0, 67, 82, 100, 100, 100, 100",2026-06-26,"Knowledge panel, Sitelinks, Reviews, Video, People also ask, Related searches, AI overview",informational,AI overview
grand service station ajman,13,13,2900,29,0.66,https://easyauto.ae/business/grand-service-station-al-warqa/,8,0.25,5.00,0.04,111,"67, 67, 67, 67, 81, 100, 100, 81, 67, 67, 100, 67",2026-06-22,"Knowledge panel, Reviews, Video, People also ask, Related searches",informational,Organic
copart uae auctions llc sharjah branch,5,5,880,28,0.00,https://easyauto.ae/business/copart-uae-auctions-llc-sharjah-branch/,8,0.25,0.00,0.03,86,"100, 100, 77, 77, 55, 55, 68, 45, 55, 55, 45, 37",2026-05-15,"Knowledge panel, Sitelinks, Video, Related searches, AI overview",navigational,Organic
shiners,1,1,110,35,1.28,https://easyauto.ae/business/shiners-premium-mobile-car-wash/,7,0.22,8.00,0.06,85,"82, 82, 65, 100, 65, 65, 65, 65, 65, 82, 53, 53",2026-05-21,"Knowledge panel, Image pack, Sitelinks, Video, People also ask, Related searches, AI overview",informational,AI overview
hot pistonz garage,9,9,260,16,0.90,https://easyauto.ae/business/hot-pistonz-garage-24-7-auto-repair-garage-in-dip-audi-bmw-jaguar-mercedes-volkswagen-bently-mg-ford-gmc-more/,7,0.22,6.00,0.3,96,"14, 21, 17, 17, 72, 100, 17, 17, 14, 17, 14, 21",2026-06-12,"Knowledge panel, Reviews, Video, People also ask, Related searches",navigational,Organic
al barakah car wash sharjah,5,5,140,17,0.00,https://easyauto.ae/business/al-barakah-car-wash/,7,0.22,0.00,0.09,65,"1, 1, 1, 1, 1, 1, 15, 100, 82, 36, 1, 6",2026-05-31,"Knowledge panel, Image pack, People also ask","informational, transactional",Organic
trade link automotive parts trading,5,5,140,13,0.00,https://easyauto.ae/business/trade-link-automotive-parts-trading/,7,0.22,0.00,0.04,131000000,"100, 67, 33, 67, 33, 52, 81, 52, 81, 81, 33, 81",2026-06-21,"Local pack, Reviews, People also ask",commercial,Organic
speed vehicles repairing & tow services llc,6,6,140,15,0.00,https://easyauto.ae/business/speed-vehicles-repairing-tow-services-llc/,7,0.22,0.00,0.02,4250000,"52, 52, 67, 100, 81, 81, 67, 43, 67, 52, 67, 67",2026-05-16,"Knowledge panel, Video",informational,Organic
wheel to wheel,5,5,260,23,1.14,https://easyauto.ae/business/wheel-to-wheel-auto-service-station/,7,0.22,7.00,0.2,110,"81, 100, 81, 81, 66, 81, 81, 81, 100, 100, 100, 100",2026-06-01,"Knowledge panel, Video, Image, Video Carousel, People also ask, Related searches, AI overview",informational,Organic
enoc discovery gardens,3,3,110,14,0.00,https://easyauto.ae/business/enoc-1029-discovery-gardens/,7,0.22,0.00,0.33,100,"64, 64, 64, 79, 79, 79, 79, 64, 100, 79, 50, 79",2026-06-06,"Knowledge panel, Video, Image, People also ask, Related searches, AI overview",informational,Organic
cars shipping llc,8,8,480,12,0.77,https://easyauto.ae/business/cars-shipping-llc/,6,0.19,4.00,0.08,127,"81, 81, 81, 81, 100, 81, 66, 100, 81, 54, 66, 66",2026-06-22,"Knowledge panel, Reviews, Video, People also ask, Related searches",informational,Organic
souq al haraj,25,25,9900,21,0.61,https://easyauto.ae/business/moatamadcars-souq-al-haraj-showroom/,6,0.19,3.00,0.1,112,"67, 82, 82, 82, 100, 100, 100, 100, 100, 82, 82, 82",2026-06-23,"Local pack, Sitelinks, Reviews, Video, Image, Video Carousel, People also ask, Related searches",commercial,Organic
landmark ajman,7,7,260,19,0.00,https://easyauto.ae/business/landmark-int-auto-spare-parts-trading-llc-jurf-ajman/,6,0.19,0.00,0.12,129,"82, 82, 67, 67, 67, 100, 67, 67, 44, 67, 67, 67",2026-06-20,"Local pack, Reviews, Video, Video Carousel, Related searches",transactional,Organic
dream cars dubai,8,8,480,19,0.82,https://easyauto.ae/business/dream-cars-dubai/,6,0.19,4.00,0.45,103,"72, 100, 72, 100, 72, 32, 48, 32, 39, 26, 21, 21",2026-05-15,"Local pack, Video, Image, People also ask, Related searches",commercial,Organic
colombia used cars trading llc,8,8,210,12,0.00,https://easyauto.ae/business/colombia-used-cars-trading-llc/,6,0.19,0.00,0.04,91,"100, 81, 66, 100, 81, 81, 66, 66, 66, 66, 44, 44",2026-06-18,"Knowledge panel, Reviews, People also ask, Related searches",navigational,Organic
ajman car souq,12,12,880,28,0.26,https://easyauto.ae/business/al-ras-used-cars-trd-ajman-car-souq-showroom-no-165/,6,0.19,1.00,0.33,5630000,"68, 68, 55, 68, 68, 68, 68, 77, 77, 100, 77, 68",2026-05-11,"Local pack, Video, Image, Related searches",commercial,Organic
mitsubishi showroom sharjah,1,1,390,19,0.69,https://easyauto.ae/business/mitsubishi-motors-showroom-service-parts-sharjah-al-habtoor-motors/,6,0.19,4.00,0.17,133,"36, 30, 24, 30, 24, 44, 44, 44, 55, 100, 55, 30",2026-06-09,"Knowledge panel, Video, People also ask, Related searches, AI overview",informational,AI overview
marhaba auction,15,15,6600,32,0.68,https://easyauto.ae/business/marhaba-auctions-souq-al-haraj/,6,0.19,4.00,0.17,126,"100, 100, 100, 100, 100, 100, 100, 100, 81, 54, 67, 67",2026-06-24,"Sitelinks, Reviews, Video, Related searches",navigational,Organic
ag cars sharjah,5,5,590,19,0.93,https://easyauto.ae/business/ag-cars-services-sharjah/,5,0.15,4.00,0.14,356000,"82, 82, 67, 82, 82, 82, 100, 82, 82, 82, 82, 100",2026-05-13,"Knowledge panel, Sitelinks, Video, Image, Related searches, AI overview",navigational,Organic
enoc 1039,5,5,590,29,0.00,https://easyauto.ae/business/enoc-1039-int-media-production-zone/,5,0.15,0.00,0,73,"8, 20, 25, 13, 20, 13, 25, 55, 68, 55, 100, 100",2026-05-16,"Knowledge panel, Sitelinks, People also ask",navigational,Organic
dasman auto spare parts trading,13,13,720,15,0.00,https://easyauto.ae/business/dasman-auto-spare-parts-llc-bidya/,5,0.15,0.00,0.04,4680,"100, 82, 82, 82, 82, 82, 82, 82, 82, 67, 55, 67",2026-06-18,"Knowledge panel, Reviews, People also ask",informational,Organic
emarat beach,15,15,3600,21,0.00,https://easyauto.ae/business/emarat-car-wash/,5,0.15,0.00,0.04,150,"82, 100, 100, 100, 100, 100, 100, 100, 82, 66, 55, 82",2026-06-26,"Knowledge panel, Reviews, Video, Related searches, AI overview",informational,Organic
al marafi automobile services,6,6,110,6,0.91,https://easyauto.ae/business/al-marafi-automobile-services-wrsh-lmrfy-lkhdmt-lsyrt/,5,0.15,4.00,0.16,101,"82, 65, 82, 65, 100, 82, 41, 65, 53, 53, 53, 53",2026-06-21,"Knowledge panel, Reviews","informational, transactional",Organic
volkswagen showroom al ain,6,6,140,13,0.00,https://easyauto.ae/business/volkswagen-showroom-al-ain/,5,0.15,0.00,0.03,68,"100, 67, 67, 52, 81, 81, 67, 67, 81, 81, 67, 43",2026-05-17,"Local pack, Video, People also ask, Related searches",commercial,Organic
adnoc pump near me,21,21,3600,27,1.09,https://easyauto.ae/business/adnoc-service-station-khalifa-city-766/,5,0.15,5.00,0.03,101,"66, 82, 82, 82, 82, 100, 100, 82, 82, 82, 66, 82",2026-06-25,"Local pack, Reviews, Related searches","navigational, transactional",Organic
geowash,19,19,3600,18,1.49,https://easyauto.ae/business/geowash-dubai-festival-city-mall/,5,0.15,7.00,0.06,106,"54, 54, 30, 30, 44, 54, 67, 81, 100, 81, 100, 81",2026-06-22,"Local pack, Reviews, Video, Image, Video Carousel, Related searches",commercial,Organic
noble auto repair workshop abu dhabi,4,4,70,12,0.00,https://easyauto.ae/business/noble-auto-repair-workshop/,4,0.12,0.00,0.33,68,"100, 81, 100, 4, 4, 4, 19, 4, 0, 4, 0, 4",2026-05-17,"Knowledge panel, People also ask","informational, transactional",Organic
adnoc car wash,22,22,6600,26,1.36,https://easyauto.ae/business/adnoc-automatic-car-wash/,4,0.12,5.00,0.06,107,"55, 55, 55, 55, 67, 67, 82, 100, 82, 67, 82, 67",2026-06-24,"Local pack, Reviews, Video, Video Carousel, People also ask, Related searches, Short videos",transactional,Organic
seven stars auto spare parts,7,7,140,14,0.00,https://easyauto.ae/business/seven-stars-auto-spare-parts/,4,0.12,0.00,0.06,91,"5, 5, 33, 81, 67, 81, 67, 81, 81, 67, 67, 100",2026-05-16,"Local pack, Video, Related searches",transactional,Organic
alba cars,12,14,8100,36,0.51,https://easyauto.ae/business/alba-cars-marina-mall-abu-dhabi/,4,0.12,2.00,0.3,131,"36, 36, 36, 36, 55, 67, 67, 100, 82, 67, 67, 82",2026-06-27,"Knowledge panel, Sitelinks, Reviews, Image, People also ask, Related searches",navigational,Organic
