Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,easyauto.ae,cargaragefinder.ae,mechanicar.com,bestserviceuae.com,autopro.ae,easyauto.ae (pages),cargaragefinder.ae (pages),mechanicar.com (pages),bestserviceuae.com (pages),autopro.ae (pages),Results
car battery shop near me,Commercial,5400,12,7.34,0.73,0,81,0,0,28,,https://cargaragefinder.ae/directory/dubai-car-battery-dubai,,,https://www.autopro.ae/additional-services/battery,115
car workshop near me,Commercial,5400,40,1.96,0.68,0,0,0,0,3,,,,,https://www.autopro.ae/,136
deep performance auto spare parts trading,Navigational,5400,34,0.54,0.02,0,25,0,0,0,,https://cargaragefinder.ae/directory/deep-performance-auto-spare-parts-dubai,,,,106
gargash mercedes benz showroom szr,"Informational, Transactional",5400,22,0.00,0.06,0,48,0,0,0,,https://cargaragefinder.ae/directory/gargash-mercedes-benz-commercial-vehicles-dubai,,,,109
grand service station al qusais,Informational,5400,25,0.16,0.07,0,0,17,0,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/grand-service-stations,,,106
km garage rashidiya,"Informational, Transactional",5400,12,0.54,0.05,0,26,0,0,0,,https://cargaragefinder.ae/directory/km-auto-center-km-group-ras-al-khaimah,,,,105
ac repair near me,Commercial,4400,18,4.63,0.55,0,0,0,0,4,,,,,https://www.autopro.ae/additional-services/air-conditionning,138
approved,"Informational, Navigational",4400,44,1.90,0.00,0,13,0,0,0,,https://cargaragefinder.ae/directory/approved-automotive-dubai,,,,138
dynatrade,Transactional,4400,27,1.99,0.24,0,34,0,0,0,,https://cargaragefinder.ae/directory/dynatrade-auto-and-service-centre-dubai,,,,109
dynatrade motors,Navigational,4400,32,1.99,0.24,0,32,0,0,0,,https://cargaragefinder.ae/directory/dynatrade-auto-and-service-centre-dubai,,,,108
elite motors workshop,"Informational, Transactional",4400,21,0.48,0.04,0,49,0,0,0,,https://cargaragefinder.ae/directory/elite-international-motors-abu-dhabi,,,,113
pitstoparabia,"Informational, Transactional",4400,31,4.83,0.93,0,0,11,0,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/pitstoparabia-com,,,107
porsche dubai,Navigational,4400,39,0.86,0.27,0,25,0,0,0,,https://cargaragefinder.ae/directory/porsche-centre-al-nabooda-dubai,,,,107
quick fit auto center,Commercial,4400,26,1.07,0.09,0,57,0,0,0,,https://cargaragefinder.ae/directory/emirate/dubai,,,,105
quick service auto repairing,Informational,4400,26,1.64,0.10,0,0,15,0,26,,,https://www.mechanicar.com/united-arab-emirates/dubai/quick-fix-auto-reparing,,https://www.autopro.ae/,134
swaidan trading co llc peugeot,Navigational,4400,22,0.00,0.05,0,53,0,0,0,,https://cargaragefinder.ae/directory/swaidanading-sharjah,,,,107
tires,Informational,4400,39,0.55,0.93,0,0,0,0,13,,,,,https://www.autopro.ae/tyres,135
zone auto care,Informational,4400,18,0.91,0.07,0,49,0,0,39,,https://cargaragefinder.ae/directory/car-zone-auto-maint-w-shop-dubai,,,https://www.autopro.ae/,111
auto,Commercial,3600,73,2.03,0.11,0,0,0,0,24,,,,,https://www.autopro.ae/,6700000000
car ac repair near me,Commercial,3600,16,3.06,0.66,0,0,0,0,5,,,,,https://www.autopro.ae/additional-services/air-conditionning,138
car garage near me,Commercial,3600,40,2.23,0.71,0,73,0,0,5,,https://cargaragefinder.ae/directory/emirate/dubai,,,https://www.autopro.ae/,136
car repair,Commercial,3600,25,4.60,0.36,0,0,0,0,2,,,,,https://www.autopro.ae/,133
car service,Commercial,3600,39,3.28,0.43,0,0,0,0,2,,,,,https://www.autopro.ae/,138
car spare parts near me,Commercial,3600,43,0.65,0.52,0,43,0,0,0,,https://cargaragefinder.ae/directory/best-auto-parts-shop-abu-dhabi,,,,136
dial a battery,Navigational,3600,16,5.79,0.31,0,25,0,0,40,,https://cargaragefinder.ae/directory/dial-a-battery-abu-dhabi,,,https://www.autopro.ae/additional-services/battery,112
dunlop pro shop,Transactional,3600,13,1.84,0.12,0,16,6,0,33,,https://cargaragefinder.ae/directory/dunlop-proshop-al-quoz-dubai,https://www.mechanicar.com/united-arab-emirates/dubai/dunlop-proshop,,https://www.autopro.ae/tyres,103
emarat chicago beach,Commercial,3600,19,0.00,0.03,0,13,0,0,0,,https://cargaragefinder.ae/directory/fasttrack-emarat-chicago-beach-dubai,,,,111
kawasaki,Navigational,3600,50,0.00,0.02,0,35,0,0,0,,https://cargaragefinder.ae/directory/kawasaki-service-center-dubai,,,,0
max garage,Navigational,3600,25,1.05,0.12,0,19,4,0,0,,https://cargaragefinder.ae/directory/max-garage-dubai,https://www.mechanicar.com/united-arab-emirates/dubai/max-garage,,,108
oil change near me,Commercial,3600,21,2.30,0.72,0,0,0,0,10,,,,,https://www.autopro.ae/oil-change,135
sss garage dubai,Informational,3600,29,0.57,0.04,0,23,0,0,0,,https://cargaragefinder.ae/directory/emirate/dubai,,,,107
tyre repair near me,Commercial,3600,16,3.26,0.69,0,72,0,0,14,,https://cargaragefinder.ae/directory/tyre-and-battery-repair-and-replacement-dubai,,,https://www.autopro.ae/tyres,136
tyre shop,Commercial,3600,50,1.17,0.30,0,0,0,0,5,,,,,https://www.autopro.ae/tyres,132
المستقبل راس الخور,"Informational, Transactional",3600,25,0.35,0.04,0,0,7,0,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/future-tyres-trading-ras-al-khor,,,107
الوطنية للمزادات,Navigational,3600,36,1.79,0.04,0,37,0,0,0,,https://cargaragefinder.ae/directory/al-wataneya-auction-abu-dhabi,,,,108
aarya auto repair body shop,Transactional,2900,22,0.28,0.05,0,0,6,0,0,,,https://www.mechanicar.com/united-arab-emirates/abu-dhabi/aarya-auto-repairs,,,107
al masaood tba,Navigational,2900,19,0.00,0.02,0,0,17,0,0,,,https://www.mechanicar.com/united-arab-emirates/abu-dhabi/al-masaood-bridgestone-tyres,,,101
al nahdha auto garage,Informational,2900,19,0.58,0.07,0,44,4,0,0,,https://cargaragefinder.ae/directory/emirate/dubai,https://www.mechanicar.com/united-arab-emirates/dubai/al-nahdha-auto,,,103
auction,Informational,2900,66,0.43,0.10,0,87,0,0,0,,https://cargaragefinder.ae/directory/al-wataneya-auction-abu-dhabi,,,,136
auto pro near me,Transactional,2900,23,0.79,0.71,0,29,0,0,1,,https://cargaragefinder.ae/directory/autopro-7029-dubai,,,https://www.autopro.ae/store-locator,2750000000
babu garage ajman,Informational,2900,29,0.32,0.06,0,37,0,0,0,,https://cargaragefinder.ae/directory/emirate/ajman,,,,106
car battery near me,Commercial,2900,24,9.93,0.64,0,79,0,0,57,,https://cargaragefinder.ae/directory/dial-a-battery-abu-dhabi,,,https://www.autopro.ae/additional-services/battery,127
car battery replacement,Commercial,2900,23,7.44,0.66,0,41,0,0,10,,https://cargaragefinder.ae/directory/car-battery-replacement-and-service-dubai,,,https://www.autopro.ae/additional-services/battery,137
car passing near me,Commercial,2900,30,0.71,0.31,0,0,0,0,39,,,,,https://www.autopro.ae/,131
car service near me,Commercial,2900,45,3.19,0.51,0,0,0,0,1,,,,,https://www.autopro.ae/,134
divya auto spare parts trading llc showroom 1,Navigational,2900,28,0.15,0.05,0,0,5,0,0,,,https://www.mechanicar.com/united-arab-emirates/sharjah/%25ef%25bb%25bfdivya-auto-spare-parts-trading-llc,,,86
nasir kalaji auto maintenance workshop,Commercial,2900,15,0.69,0.06,0,14,0,0,0,,https://cargaragefinder.ae/directory/nasir-kalaji-auto-maintenance-workshop-dubai,,,,118
saeedi pro al quoz,"Informational, Transactional",2900,21,0.42,0.10,0,22,0,0,47,,https://cargaragefinder.ae/directory/saeedi-pro-al-quoz-dubai,,,https://www.autopro.ae/tyres,109
saeedi pro dip,"Informational, Transactional",2900,14,0.49,0.06,0,0,0,0,43,,,,,https://www.autopro.ae/tyres,107
800 battery,Navigational,2400,21,5.45,0.65,0,50,0,0,0,,https://cargaragefinder.ae/directory/800-batteries-hub-auto-repairing-dubai,,,,118
adnoc lube,Transactional,2400,20,0.00,0.03,0,0,0,21,0,,,,https://bestserviceuae.com/garage/adnoc-lube-al-madina-929/,,106
adnoc vehicle inspection yas mall,Informational,2400,22,0.00,0.02,0,0,0,12,0,,,,https://bestserviceuae.com/garage/adnoc-vehicle-inspection-yas-mall/,,3980
al emad car rental jlt,"Informational, Transactional",2400,21,1.40,0.11,0,20,0,0,0,,https://cargaragefinder.ae/directory/al-emad-car-rental-jlt-dubai,,,,101
al fatah tyres,Navigational,2400,21,0.34,0.05,0,0,0,15,0,,,,https://bestserviceuae.com/garage/al-fatah-tyres/,,40200
al ghassan auto balance work shop,Informational,2400,19,1.02,0.04,0,0,0,5,0,,,,https://bestserviceuae.com/garage/al-ghassan-auto-balance-work-shop/,,20100
al kayed workshop,Informational,2400,26,0.86,0.08,0,71,0,0,0,,https://cargaragefinder.ae/,,,,103
al nabooda automobiles porsche centre dubai,"Navigational, Transactional",2400,34,1.32,0.00,0,32,0,0,0,,https://cargaragefinder.ae/directory/porsche-centre-al-nabooda-dubai,,,,115
almutakamela,Navigational,2400,36,1.37,0.04,0,0,0,53,0,,,,https://bestserviceuae.com/garage/al-mutakamela-vehicles-testing-and-registration-al-aweer/,,12300000
auto car maintenance,Informational,2400,50,2.53,0.08,0,0,0,0,1,,,,,https://www.autopro.ae/,599000000
auto repair near me,Transactional,2400,44,2.91,0.46,0,0,0,0,1,,,,,https://www.autopro.ae/,735000
burj malabar auto maint,Informational,2400,13,0.59,0.07,0,0,0,10,0,,,,https://bestserviceuae.com/garage/burj-malabar-auto-maintenance/,,4720
car accessories shop near me,Commercial,2400,13,0.41,0.52,0,51,0,0,0,,https://cargaragefinder.ae/directory/auto-mart-car-accessories-ajman,,,,592000000
car mechanic near me,Commercial,2400,50,3.53,0.56,0,0,0,0,4,,,,,https://www.autopro.ae/,415000000
car repair shops near me,Commercial,2400,14,2.91,0.46,0,0,0,0,1,,,,,https://www.autopro.ae/,131
car wash dubai,Commercial,2400,29,1.50,0.54,0,0,0,0,9,,,,,https://www.autopro.ae/prowash,98
electric vehicle service,Informational,2400,10,2.57,0.02,0,0,0,52,0,,,,https://bestserviceuae.com/journal/electric-car-service-dubai/,,136
emarat toufan,Informational,2400,16,0.00,0.04,0,0,0,15,0,,,,https://bestserviceuae.com/garage/emarat-toufan/,,44
hyundai service center ras al khor,Transactional,2400,20,0.75,0.07,0,38,0,10,0,,https://cargaragefinder.ae/directory/hyundai-service-center-2-dubai,,https://bestserviceuae.com/garage/hyundai-service-center-ras-al-khor/,,88
infiniti centre deir,Navigational,2400,19,0.00,0.00,0,0,0,6,0,,,,https://bestserviceuae.com/garage/infiniti-centre-deira-arabian-automobiles-llc/,,63100
king road autos repairing,Navigational,2400,20,0.62,0.07,0,0,0,0,30,,,,,https://www.autopro.ae/,89
liwa automobile services llc,Navigational,2400,18,0.48,0.08,0,0,1,0,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/liwa-automobile-services-l-l-c,,,7440
mba motors,Navigational,2400,29,0.38,0.06,0,0,0,14,0,,,,https://bestserviceuae.com/garage/mba-motors/,,83
mercedes benz near me,Transactional,2400,30,0.00,0.19,0,57,0,0,0,,https://cargaragefinder.ae/directory/mercedes-benz-showroom-emc-abu-dhabi,,,,299000000
pab auto maintenance,Navigational,2400,29,0.96,0.11,0,0,0,45,38,,,,https://bestserviceuae.com/garage/pab-auto-maintenancebr-dip-1/,https://www.autopro.ae/,4630000
pal auto garage br al qouz ind 4,"Informational, Transactional",2400,19,0.37,0.08,0,52,0,58,0,,https://cargaragefinder.ae/directory/pal-auto-deira-dubai,,https://bestserviceuae.com/garage/pal-auto-garage-br-dip-1-pal-platina-tesla-approved-bodyshop/,,78
protection car care,Commercial,2400,17,1.34,0.05,0,0,4,0,0,,,https://www.mechanicar.com/united-arab-emirates/al-ain/protection-car-care,,,90
rafi auto workshop,Informational,2400,29,0.26,0.04,0,0,0,9,0,,,,https://bestserviceuae.com/garage/rafi-auto-workshop/,,492000
ramy automotive,Navigational,2400,26,1.31,0.04,0,0,4,0,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/ramy-automotive-workshop,,,9950000
service station near me,Commercial,2400,29,1.39,0.29,0,0,0,0,5,,,,,https://www.autopro.ae/,2080000000
tire shop,Commercial,2400,40,1.29,0.26,0,0,0,0,5,,,,,https://www.autopro.ae/tyres,201
tyre puncture repair near me,Transactional,2400,16,3.06,0.63,0,0,0,0,74,,,,,https://www.autopro.ae/tyres,33300000
tyres,Commercial,2400,40,0.79,0.85,0,0,0,0,13,,,,,https://www.autopro.ae/tyres,137
tyres online,Navigational,2400,31,0.43,1.00,0,0,0,0,44,,,,,https://www.autopro.ae/tyres,117
wellfit co llc,"Informational, Transactional",2400,34,1.45,0.08,0,56,0,0,0,,https://cargaragefinder.ae/directory/wellfit-international-dubai,,,,1220000
wheel alignment near me,Transactional,2400,13,1.05,0.65,0,0,0,0,6,,,,,https://www.autopro.ae/tyres,84500000
تصليح سيارات,Transactional,2400,12,3.02,0.30,0,0,0,80,6,,,,https://bestserviceuae.com/dubai/general-repair/,https://www.autopro.ae/,9900000
تواير,Commercial,2400,29,0.30,0.35,0,0,0,0,36,,,,,https://www.autopro.ae/tyres,2090000
للاطارات,Commercial,2400,26,0.52,0.24,0,0,0,0,25,,,,,https://www.autopro.ae/tyres,133
al amani trading llc,Commercial,1900,22,0.00,0.03,0,0,0,33,0,,,,https://bestserviceuae.com/garage/al-amani-trading-llc-52917/,,99
audi service centre mussafah,"Informational, Transactional",1900,12,0.00,0.04,0,0,0,62,0,,,,https://bestserviceuae.com/abu-dhabi/german-specialist/,,88
car battery dubai,Commercial,1900,22,8.06,0.48,0,0,0,0,10,,,,,https://www.autopro.ae/additional-services/battery,113
car dealers in dubai,Commercial,1900,48,1.41,0.52,0,0,0,98,0,,,,https://bestserviceuae.com/dubai/dealership/,,82400000
car detailing dubai,Commercial,1900,36,2.18,0.80,0,0,0,0,5,,,,,https://www.autopro.ae/additional-services/detailing,10100000
car service dubai,Commercial,1900,53,3.42,0.60,0,0,0,0,1,,,,,https://www.autopro.ae/,136
cars near me,Commercial,1900,41,1.47,0.29,0,0,0,0,57,,,,,https://www.autopro.ae/,5600000000
carswitch uae,Navigational,1900,57,0.83,0.55,0,16,0,0,0,,https://cargaragefinder.ae/directory/carswitch-dubai,,,,108
dubai tyre shop,Navigational,1900,60,1.38,0.38,0,0,0,0,6,,,,,https://www.autopro.ae/tyres,6360000
elite cars,Navigational,1900,26,0.91,0.45,0,51,0,0,0,,https://cargaragefinder.ae/directory/the-elite-cars-abu-dhabi,,,,148
emarat galadari,Informational,1900,16,0.00,0.05,0,0,0,7,0,,,,https://bestserviceuae.com/garage/emarat-galadari/,,62100
emarat taqniya,Commercial,1900,17,0.00,0.04,0,0,0,10,0,,,,https://bestserviceuae.com/garage/fasttrack-emarat-taqniya/,,3920000
future tyres trading dubai,Commercial,1900,22,0.50,0.03,0,0,5,0,51,,,https://www.mechanicar.com/united-arab-emirates/dubai/future-tyres-trading-ras-al-khor,,https://www.autopro.ae/tyres,104
green autoworks,Navigational,1900,26,0.90,0.04,0,0,5,0,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/green-autoworks,,,3040000
hyundai service center mussafah,"Informational, Transactional",1900,19,0.62,0.05,0,67,0,8,0,,https://cargaragefinder.ae/directory/hyundai-showroom-abu-dhabi,,https://bestserviceuae.com/garage/hyundai-service-center-mussafah/,,82
hyundai service center sharjah,Informational,1900,19,0.51,0.06,0,0,0,75,0,,,,https://bestserviceuae.com/garage/kia-hyundai/,,770000
jan japan cars 4 u fzco,"Informational, Navigational",1900,10,1.18,0.05,0,0,0,19,0,,,,https://bestserviceuae.com/garage/jan-japan-cars-4-u-fzco/,,25700000
manual car wash near me,Commercial,1900,15,0.76,0.26,0,0,0,0,2,,,,,https://www.autopro.ae/prowash,126
mechanic near me,Commercial,1900,36,4.00,0.48,0,0,31,0,2,,,https://www.mechanicar.com/pakistan,,https://www.autopro.ae/,749000000
mercedes abu dhabi,Navigational,1900,36,1.59,0.48,0,22,0,0,0,,https://cargaragefinder.ae/directory/mercedes-benz-boutique-emc-abu-dhabi,,,,107
octane car service,"Informational, Transactional",1900,22,1.71,0.07,0,52,0,0,0,,https://cargaragefinder.ae/directory/octane-dubai,,,,106
octane car service dubai,Navigational,1900,27,1.71,0.07,0,19,0,25,0,,https://cargaragefinder.ae/directory/octane-dubai,,https://bestserviceuae.com/garage/octane-car-service/,,90
oil change,Commercial,1900,26,3.13,0.22,0,0,0,68,2,,,,https://bestserviceuae.com/dubai/oil-change/,https://www.autopro.ae/oil-change,1910000000
oil change service,Commercial,1900,20,2.72,0.11,0,0,0,0,2,,,,,https://www.autopro.ae/oil-change,133
rapido garage,"Informational, Transactional",1900,25,1.16,0.07,0,43,0,0,0,,https://cargaragefinder.ae/,,,,81
saeedi pro ras al khor,"Informational, Transactional",1900,19,0.84,0.09,0,0,0,0,45,,,,,https://www.autopro.ae/,93
subzero motorsport,Informational,1900,29,1.96,0.03,0,0,5,0,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/subzero-motorsport,,,102
tint,Commercial,1900,21,2.21,0.92,0,0,0,0,4,,,,,https://www.autopro.ae/additional-services/tinting,622000000
tyres dubai,Commercial,1900,36,1.09,0.99,0,0,0,0,11,,,,,https://www.autopro.ae/tyres,195
vehicle testing center near me,Commercial,1900,17,1.12,0.24,0,0,0,0,43,,,,,https://www.autopro.ae/,128
zdegree al quoz,Navigational,1900,20,1.54,0.02,0,0,0,45,0,,,,https://bestserviceuae.com/garage/carallzcom-caz-gulf-power-auto-spare-parts-tr-llc-sp-al-quoz-store/,,1480
اطارات السيارات,Commercial,1900,13,0.38,0.60,0,0,0,0,35,,,,,https://www.autopro.ae/tyres,132
معارض عجمان,Commercial,1900,19,0.18,0.32,0,0,0,54,0,,,,https://bestserviceuae.com/ajman/dealership/,,1600000
aarya auto repairs,Navigational,1600,29,1.09,0.29,0,0,5,0,0,,,https://www.mechanicar.com/united-arab-emirates/abu-dhabi/aarya-auto-repairs,,,103
abu dhabi motors service center,Navigational,1600,13,1.96,0.05,0,0,0,11,0,,,,https://bestserviceuae.com/garage/abu-dhabi-motors-service-center/,,59800000
ag cars deira,Navigational,1600,21,1.13,0.31,0,50,0,28,0,,https://cargaragefinder.ae/directory/ag-cars-services-ras-al-khaimah,,https://bestserviceuae.com/garage/ag-cars-services-llc-deira/,,103000
al maha auto maintenance,Informational,1600,18,0.86,0.05,0,0,0,9,0,,,,https://bestserviceuae.com/garage/al-maha-auto-maintenance/,,535
al satea car wash,Informational,1600,19,0.60,0.04,0,0,1,0,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/al-satea-car-wash,,,3550
al suwaidi international garage,Informational,1600,23,0.54,0.04,0,0,0,66,0,,,,https://bestserviceuae.com/dubai/umm-ramool-rashidiya/,,15200
aulto,Informational,1600,55,4.71,0.02,0,0,0,0,1,,,,,https://www.autopro.ae/,64
autoglass,Commercial,1600,34,1.27,0.08,0,87,30,0,0,,https://cargaragefinder.ae/directory/autoglass-middle-east-dubai,https://www.mechanicar.com/united-arab-emirates/dubai/auto-glass-middle-east-llc,,,14200000
axis auto garage,"Informational, Transactional",1600,29,0.75,0.07,0,35,5,0,0,,https://cargaragefinder.ae/directory/axis-workshop-dubai,https://www.mechanicar.com/united-arab-emirates/dubai/axis-auto-garage,,,7670000
car battery dubai price,Commercial,1600,13,3.52,0.63,0,0,0,0,24,,,,,https://www.autopro.ae/additional-services/battery,108
car battery price in uae,Informational,1600,8,3.52,0.63,0,0,0,0,23,,,,,https://www.autopro.ae/additional-services/battery,42200000
car clinic,Commercial,1600,21,1.53,0.09,0,0,4,0,0,,,https://www.mechanicar.com/united-arab-emirates/abu-dhabi/car-clinic,,,471000000
car detailing,Commercial,1600,17,1.54,0.52,0,0,0,0,8,,,,,https://www.autopro.ae/additional-services/detailing,135
car garage,Commercial,1600,41,2.57,0.31,0,82,0,0,3,,https://cargaragefinder.ae/,,,https://www.autopro.ae/,941000000
car polish,Informational,1600,11,1.23,1.00,0,0,0,0,4,,,,,https://www.autopro.ae/additional-services/detailing,137
car polish near me,Commercial,1600,12,1.78,0.63,0,0,0,0,1,,,,,https://www.autopro.ae/additional-services/detailing,374000000
car tinting dubai,Commercial,1600,19,2.99,0.71,0,0,0,0,38,,,,,https://www.autopro.ae/additional-services/tinting,957000
car wash near me open now,Commercial,1600,27,0.78,0.32,0,0,0,0,4,,,,,https://www.autopro.ae/prowash,186000000
car wash ras al khor,Commercial,1600,12,0.52,0.12,0,0,0,0,15,,,,,https://www.autopro.ae/prowash,289000
dynatrade auto service,Navigational,1600,34,1.60,0.01,0,36,0,0,0,,https://cargaragefinder.ae/directory/dynatrade-auto-and-service-centre-dubai,,,,108
express auto wash,Navigational,1600,28,0.00,0.02,0,0,0,0,41,,,,,https://www.autopro.ae/prowash,321000000
fast wheels,Navigational,1600,40,1.53,0.05,0,27,0,0,0,,https://cargaragefinder.ae/directory/fast-wheels-sharjah,,,,126
foilack abu dhabi,"Informational, Transactional",1600,29,1.74,0.03,0,14,0,7,0,,https://cargaragefinder.ae/directory/foilack-abu-dhabi,,https://bestserviceuae.com/garage/foilack-abu-dhabi/,,1800
grace auto repair workshop,Informational,1600,22,1.06,0.05,0,18,4,25,0,,https://cargaragefinder.ae/directory/grace-auto-repair-workshop-abu-dhabi,https://www.mechanicar.com/united-arab-emirates/abu-dhabi/grace-auto-repair-workshop,https://bestserviceuae.com/garage/grace-auto-care/,,103
grand service station,Commercial,1600,16,0.99,0.32,0,0,10,57,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/grand-service-stations,https://bestserviceuae.com/garage/grand-service-station-al-warqa/,,1010000000
hyundai service center al quoz 2,Informational,1600,19,0.00,0.05,0,43,0,4,0,,https://cargaragefinder.ae/directory/hyundai-service-center-2-dubai,,https://bestserviceuae.com/garage/hyundai-service-center-al-quoz-2/,,78
jetour service center,Navigational,1600,18,0.54,0.26,0,70,0,0,0,,https://cargaragefinder.ae/directory/jetour-al-quoz-dubai,,,,108
mg motors,Navigational,1600,53,0.74,0.29,0,61,0,0,0,,https://cargaragefinder.ae/directory/mg-motor-showroom-abu-dhabi,,,,162000000
nasser auto electrical,Commercial,1600,24,0.00,0.02,0,0,0,15,0,,,,https://bestserviceuae.com/garage/nasser-auto-electrical-branch-mussafah-11/,,68
tasjeel discovery gardens,Navigational,1600,29,1.51,0.04,0,0,0,12,0,,,,https://bestserviceuae.com/garage/tasjeel-discovery-gardens/,,160000
the mechanic auto center,Informational,1600,28,1.15,0.11,0,0,5,59,0,,,https://www.mechanicar.com/united-arab-emirates/dubai/themechanicautocenter,https://bestserviceuae.com/garage/the-mechanic-auto-center/,,103
topline garages,"Informational, Transactional",1600,25,1.11,0.08,0,0,0,41,0,,,,https://bestserviceuae.com/garage/top-line-garage-llc/,,63
tyres sharjah,Commercial,1600,38,0.72,0.55,0,0,0,82,0,,,,https://bestserviceuae.com/sharjah/tires-wheels/,,948000
vehicle inspection dubai,Commercial,1600,30,2.83,0.67,0,0,0,56,0,,,,https://bestserviceuae.com/inspection/,,10700000
