Keyword,Intent,Volume,Trend,Keyword Difficulty,CPC (USD),SERP Features
apy scheme details,Informational,140,"0.64,0.64,0.79,0.64,0.50,0.64,0.64,0.79,1.00,0.64,0.64,1.00",29,0.00,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
call details,Informational,140,"0.53,0.82,0.82,0.82,0.65,0.53,0.65,0.82,0.65,0.82,1.00,0.65",40,0.09,"AI Overview, Video, Video carousel, Related searches"
catch basin detail,Informational,140,"1.00,0.65,1.00,1.00,0.82,0.82,0.65,0.65,0.82,0.65,0.41,0.82",9,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
check flight details,Informational,140,"0.18,0.23,0.18,0.23,0.18,0.36,0.44,0.54,0.44,0.54,1.00,0.36",71,0.06,"AI Overview, Image, Video, Flights, Related searches"
company details,Informational,140,"0.01,0.01,0.67,1.00,0.15,0.07,0.01,0.07,0.01,0.04,0.01,0.03",29,1.68,"AI Overview, Video, People also ask, Related searches"
detail assessment,Informational,140,"1.00,1.00,0.03,0.28,0.81,0.53,1.00,0.03,1.00,0.03,0.03,0.03",24,0.00,"Sitelinks, Video, Video carousel, People also ask, Related searches"
detail oriented meaning,Informational,140,"1.00,0.82,1.00,0.82,1.00,0.82,0.82,0.82,0.82,0.65,0.41,0.53",33,0.00,"Sitelinks, AI Overview, Image pack, Video, People also ask, Related searches"
detailed synonym,Informational,140,"1.00,0.52,0.43,0.67,0.81,0.81,0.81,0.67,0.67,0.52,0.52,0.81",33,0.00,"AI Overview, People also ask, Related searches"
flight details abu dhabi airport,Informational,140,"1.00,0.67,0.52,0.67,0.81,0.52,0.24,0.67,0.81,0.43,0.43,0.67",37,0.00,"Image, Video, Flights, Related searches"
interior detailing,Commercial,140,"0.44,0.28,0.34,0.28,1.00,0.34,0.28,0.34,0.28,0.28,0.28,0.44",20,1.91,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Local pack"
kenzie's car washing & detailing services,Navigational,140,"0.19,0.33,0.43,0.52,0.52,0.67,0.81,1.00,1.00,0.81,0.81,0.81",21,0.00,"Sitelinks, Image, Video, Local pack, Related searches"
mvd kerala vehicle details,Informational,140,"0.67,1.00,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.14,0.33,0.67",20,0.00,"Video, People also ask, Related searches"
mvdkerala vehicle details,Informational,140,"0.67,1.00,0.81,0.81,0.81,0.81,0.67,0.67,0.67,0.14,0.33,0.67",16,0.02,"Video, People also ask, Related searches"
personal details in cv,Informational,140,"1.00,0.81,1.00,0.81,0.43,0.67,0.67,0.67,0.67,0.52,0.43,0.52",28,0.00,"AI Overview, Image, Image pack, Video, Video carousel, People also ask, Related searches"
saqr port berth details,Informational,140,"0.53,0.82,0.53,0.65,0.82,0.82,1.00,0.65,0.65,0.53,0.82,0.18",7,0.00,Related searches
sim card number details,Informational,140,"0.52,0.67,0.67,0.81,1.00,1.00,0.81,0.52,0.52,0.43,0.43,0.33",20,0.00,"AI Overview, Video, Video carousel, Related searches"
sim number details,Informational,140,"0.52,0.67,0.67,0.81,1.00,1.00,0.81,0.52,0.52,0.43,0.43,0.33",29,0.00,"Image, Video, Video carousel, Related searches"
vehicle details india,Informational,140,"0.65,0.65,0.82,1.00,0.82,1.00,0.82,0.82,1.00,0.82,0.82,0.24",40,0.00,"Video, People also ask, Related searches"
account details,Informational,110,"0.79,0.79,1.00,0.79,0.79,1.00,1.00,0.79,1.00,0.79,1.00,1.00",45,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
agneepath scheme details,Informational,110,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",22,0.00,"Sitelinks, AI Overview, Video, Video carousel, People also ask, Related searches"
auto detailing services,Informational,110,"0.53,0.53,0.53,0.65,0.65,0.41,0.53,0.65,0.65,0.65,1.00,0.65",28,2.84,"AI Overview, Video, People also ask, Local pack, Related searches"
burj khalifa details,Informational,110,"0.44,0.01,0.01,0.01,0.01,0.01,1.00,0.01,0.01,0.01,0.01,0.03",46,0.10,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
car cleaning and detailing near me,Commercial,110,"0.53,0.53,0.41,0.82,1.00,0.82,0.65,0.65,0.82,0.53,1.00,0.82",26,1.16,"Image, Video, People also ask, Local pack, Related searches"
car detailing and polishing dubai,Commercial,110,"0.33,0.67,0.67,1.00,0.33,0.33,1.00,0.33,0.33,0.33,0.33,0.24",24,0.00,"Sitelinks, Image, Local pack, Related searches"
car detailing services,Commercial,110,"0.53,0.53,0.53,0.65,0.65,0.41,0.53,0.65,0.65,0.65,1.00,0.65",37,2.84,"Video, People also ask, Local pack, Related searches"
check phone number details,Informational,110,"1.00,0.53,0.53,0.65,0.65,0.82,0.82,0.41,0.41,0.53,0.41,0.41",36,0.48,"AI Overview, Video, People also ask, Related searches"
cma course details,Informational,110,"1.00,0.79,1.00,0.79,0.50,0.64,0.79,0.79,0.79,0.64,0.50,0.79",26,1.24,"AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
detail cafe,Transactional,110,"1.00,0.54,0.35,0.02,0.02,0.02,0.04,0.02,0.02,0.02,0.02,0.02",27,0.00,"Image, Image pack, Video, People also ask, Local pack"
detail car wash near me,Commercial,110,"0.53,0.53,0.41,0.82,1.00,0.82,0.65,0.65,0.82,0.53,1.00,0.82",30,1.34,"Video, People also ask, Local pack, Related searches"
emirates airlines fleet details,Informational,110,"0.44,1.00,0.02,0.02,0.02,0.29,0.35,0.02,0.08,0.02,0.02,0.02",46,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, People also ask, Related searches"
emirates fleet details,Informational,110,"0.54,1.00,0.01,0.03,0.03,0.36,0.19,0.01,0.01,0.04,0.01,0.01",38,0.00,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, Short videos, People also ask, Related searches"
how to check car owner details,Informational,110,"0.19,0.29,1.00,0.19,0.03,0.01,0.01,0.01,0.03,0.06,0.01,0.03",5,0.00,"AI Overview, Video, Video carousel, Related searches"
ipl details,Informational,110,"1.00,0.01,0.10,0.01,0.01,0.01,0.00,0.00,0.01,0.00,0.01,0.54",64,0.00,"AI Overview, Image, Video, People also ask, Related searches"
kerala rto vehicle details,Informational,110,"1.00,1.00,0.82,0.41,0.65,0.82,0.82,0.53,0.65,0.29,0.29,0.41",16,0.02,"Video, Related searches"
lic policy details check,"Informational, Transactional",110,"0.79,0.79,0.79,0.79,1.00,0.79,0.64,1.00,1.00,0.64,1.00,0.79",38,1.15,"Video, People also ask, Related searches"
list of companies in dubai with contact details,Commercial,110,"0.82,1.00,0.65,1.00,0.53,0.41,0.65,0.53,0.53,0.18,0.18,0.18",19,1.43,"Image pack, People also ask, Local pack, Related searches"
list of companies in uae with contact details,Informational,110,"0.30,0.02,0.03,1.00,0.24,0.01,0.01,0.01,0.01,0.02,0.01,0.02",12,2.23,"AI Overview, Related searches"
list of hospitals in abu dhabi with contact details,Commercial,110,"1.00,0.19,0.01,0.01,0.24,0.01,0.01,0.01,0.67,0.03,0.04,0.03",23,1.27,"AI Overview, FAQ, Video, Local pack, Related searches"
lulu ipo details,Informational,110,"0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00",19,0.39,"AI Overview, Video, People also ask, Related searches"
naffco dubai company details,Navigational,110,"0.79,0.79,0.64,0.64,0.64,0.79,0.50,1.00,1.00,0.79,0.36,0.36",29,2.00,"Sitelinks, AI Overview, Image pack, People also ask, Local pack, Related searches"
number details pakistan,Informational,110,"1.00,0.79,0.64,0.79,1.00,0.79,0.79,0.79,0.79,0.64,0.79,0.79",24,0.25,"AI Overview, Video, Video carousel, Related searches"
pakistan mobile number details,Informational,110,"0.79,0.64,1.00,0.79,0.79,0.79,1.00,0.79,0.79,0.64,0.79,1.00",22,0.49,"AI Overview, Video, Video carousel, People also ask, Related searches"
passport details,Informational,110,"0.79,0.79,0.79,0.79,0.64,1.00,1.00,0.79,1.00,0.79,0.50,0.36",26,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
retail is detail llc,Navigational,110,"1.00,0.64,1.00,0.79,1.00,0.79,1.00,0.50,0.79,0.79,0.64,0.64",21,0.00,"Sitelinks, People also ask, Related searches"
rta vehicle details,"Navigational, Transactional",110,"0.81,0.65,1.00,0.04,0.04,0.04,0.04,0.04,0.12,0.12,0.04,0.04",21,0.00,"AI Overview, Image pack, Video carousel, People also ask, Related searches"
sensory details,Informational,110,"0.65,0.41,0.06,0.18,1.00,1.00,0.82,0.12,0.53,0.53,0.65,0.65",28,0.00,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
staircase details,Informational,110,"1.00,0.65,0.82,0.65,0.53,0.65,0.65,0.65,0.65,0.53,0.53,0.53",16,0.00,"Image, Image pack, Video, Video carousel, Related searches"
steel staircase details,Informational,110,"1.00,1.00,0.44,0.06,0.02,0.02,0.02,0.08,0.06,0.19,0.02,0.02",14,0.00,"Image, Image pack, Video, People also ask, Related searches"
the devil is in the details,Informational,110,"1.00,0.79,0.64,0.64,0.64,1.00,1.00,0.64,1.00,0.64,0.64,0.79",23,0.00,"Sitelinks, AI Overview, Video, Video carousel, Short videos, People also ask, Related searches"
vehicle details by number plate uae,Informational,110,"1.00,1.00,1.00,1.00,0.79,0.79,0.29,0.07,0.14,0.14,0.21,0.14",13,0.00,"AI Overview, Video, People also ask, Related searches"
wahl detailer,Informational,110,"1.00,0.15,0.01,0.44,0.01,0.01,0.01,0.03,0.01,0.01,0.03,0.10",11,0.31,"Sitelinks, AI Overview, Image pack, Video, Video carousel, Short videos, Related searches"
acca course details,Informational,90,"1.00,0.64,0.79,0.64,0.64,0.64,0.64,0.50,0.79,0.50,0.50,0.79",52,1.12,"AI Overview, Video, Video carousel, People also ask, Related searches"
air india baggage details,Informational,90,"0.41,0.29,0.41,0.65,0.41,0.53,0.82,0.82,1.00,0.65,0.29,0.29",40,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
attention to detail meaning,Informational,90,"0.24,0.12,0.01,0.01,0.01,0.01,0.36,0.01,1.00,0.01,0.01,0.01",28,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
bsc mlt course details,Informational,90,"0.15,1.00,0.01,0.01,0.03,0.01,0.01,0.03,0.01,0.01,0.01,0.10",16,0.00,"Sitelinks, AI Overview, Video, People also ask, Related searches"
car detailing and polishing,Commercial,90,"0.09,0.09,0.09,0.09,0.09,0.09,0.18,0.82,0.09,0.09,1.00,0.18",15,1.59,"AI Overview, Image, Video, Video carousel, People also ask, Local pack, Related searches"
car detailing dubai price,Informational,90,"0.54,1.00,0.04,0.04,0.54,0.08,0.04,0.08,0.19,0.04,0.04,0.08",14,1.09,"Sitelinks, AI Overview, Video, People also ask, Local pack, Related searches"
car detailing shop,Commercial,90,"0.03,0.05,0.03,0.08,0.18,0.08,1.00,0.05,0.03,0.08,0.36,0.82",18,2.21,"Sitelinks, Image, Local pack, Related searches"
car details by chassis number,Informational,90,"0.53,0.44,1.00,0.22,0.03,0.28,0.03,0.03,0.03,0.03,0.16,0.03",25,0.26,"Video, Related searches"
curtain wall details,Informational,90,"0.65,0.53,0.65,0.53,0.53,0.65,0.82,0.29,0.65,0.41,0.41,1.00",17,0.00,"Image, Image pack, Video, People also ask, Related searches"
detailed drawings,Informational,90,"0.36,0.03,0.03,0.08,0.03,1.00,0.67,0.13,0.03,0.08,0.03,0.03",22,0.00,"Image, Image pack, Video, Video carousel, People also ask, Related searches"
detailed world map,Informational,90,"0.03,0.54,0.03,0.05,0.82,0.03,0.03,0.03,0.03,0.03,1.00,0.03",71,0.00,"Image, Image pack, Video, Video carousel, Related searches"
detailer,Informational,90,"0.04,0.06,0.54,1.00,0.02,0.19,0.02,0.02,0.06,0.02,0.04,0.10",29,1.66,"Sitelinks, AI Overview, Image, Image pack, Video, Video carousel, People also ask, Local pack, Related searches"
details in hindi,Informational,90,"1.00,1.00,0.82,0.82,1.00,1.00,0.82,0.64,1.00,0.64,0.45,0.36",19,0.00,"AI Overview, Video, Video carousel, Related searches"
dummy card details,Informational,90,"1.00,0.01,0.01,0.67,0.19,0.19,0.06,0.01,0.03,0.01,0.03,0.01",49,0.00,"Video, Related searches"
employee details,Informational,90,"1.00,0.27,0.04,0.04,0.04,0.42,0.19,1.00,0.65,0.04,0.04,0.04",20,2.41,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
full body harness details,Informational,90,"0.79,0.64,1.00,0.79,0.64,0.64,0.50,0.50,0.79,0.36,0.50,0.64",5,0.00,"AI Overview, Image, Video, Video carousel, People also ask, Related searches"
highly detailed,Informational,90,"0.01,1.00,0.01,0.07,0.01,0.04,0.10,0.03,0.01,0.01,0.01,0.06",18,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
kuwait airways baggage details,Informational,90,"0.24,0.65,0.53,0.53,0.82,0.65,0.82,1.00,0.53,0.53,0.06,0.18",22,0.00,"AI Overview, Video, People also ask"
lic policy details by policy number,"Informational, Transactional",90,"1.00,0.53,0.03,0.03,0.81,0.12,0.16,0.03,0.03,0.03,0.03,0.03",39,0.00,"AI Overview, Video, People also ask, Related searches"
main idea and supporting details,Informational,90,"0.65,0.29,0.06,0.18,1.00,1.00,0.65,0.18,0.65,0.41,0.41,0.65",28,0.00,"Sitelinks, AI Overview, Image, Video, Video carousel, People also ask, Related searches"
minute detail,Informational,90,"1.00,0.15,0.67,0.02,0.04,0.15,0.02,0.02,0.02,0.04,0.02,0.02",24,0.00,"AI Overview, Image pack, Video, People also ask, Related searches"
mobile car detailing,Commercial,90,"0.01,0.06,0.02,0.02,0.01,0.03,1.00,0.01,0.01,0.01,0.01,0.16",26,1.56,"Image, Video, People also ask, Local pack, Related searches"
post tension slab details,Informational,90,"0.50,0.50,0.64,0.79,0.79,1.00,0.79,0.79,0.79,0.79,0.50,1.00",18,0.00,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
pravasi pension details,Informational,90,"0.02,0.02,0.05,0.03,0.02,0.03,1.00,0.02,0.19,0.19,0.19,0.15",18,0.00,"AI Overview, Video, People also ask, Related searches"
pt slab details,Informational,90,"0.50,0.50,0.64,0.79,0.79,1.00,0.79,0.79,0.79,0.79,0.50,1.00",10,0.00,"AI Overview, Image pack, Video, Video carousel, People also ask, Related searches"
