Keyword,Intents,Volume,Keyword Difficulty,CPC,Competition Density,easyauto.ae,lexus.ae,ppfdubai.ae,ceramicpro.com,3mae.ae,easyauto.ae (pages),lexus.ae (pages),ppfdubai.ae (pages),ceramicpro.com (pages),3mae.ae (pages),Results
car tinting sharjah,Commercial,260,12,1.77,0.92,0,67,0,0,24,,https://www.lexus.ae/en/owners/service-plan-and-products/3m-tint/,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,124
chasis,Informational,260,28,0.50,0.02,0,36,0,0,0,,https://www.lexus.ae/en/news/what-is-a-chassis-in-cars-chassis-number-check-types-and-more/,,,,124
chassis meaning,Informational,260,40,0.00,0.33,0,19,0,0,0,,https://www.lexus.ae/en/news/what-is-a-chassis-in-cars-chassis-number-check-types-and-more/,,,,125
chemical gloves,Informational,260,10,0.48,1.00,0,0,0,0,16,,,,,https://www.3mae.ae/3M/en_AE/p/c/cleaning-supplies/equipment/chemical-resistant-gloves/,133
chevron marking,Informational,260,13,0.00,0.33,0,0,0,0,3,,,,,https://www.3mae.ae/3M/en_AE/road-safety-ae/vehicle-safety-markings/vehicle-warning-chevron-markings/,132
command strips,Informational,260,15,0.04,1.00,0,0,0,0,2,,,,,https://www.command.3mae.ae/3M/en_AE/command-CEEMEA/,132
def lock,Informational,260,25,0.00,0.01,0,1,0,0,0,,https://www.lexus.ae/en/news/what-does-a-locking-differential-do/,,,,122
double face tape,Informational,260,7,0.22,1.00,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/,136
ear protection,Commercial,260,16,0.19,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/hearing-protection/i/safety/personal-safety/,136
electronic stability program,Informational,260,26,0.00,0.33,0,2,0,0,0,,https://www.lexus.ae/en/news/what-is-electronic-stability-control-esc/,,,,98
es300h,Informational,260,29,0.49,0.13,0,4,0,0,0,,https://www.lexus.ae/ar/new-cars/es-h/,,,,138
filter mask,Informational,260,9,0.17,1.00,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/respiratory-protection/reusable-respirators/i/safety/,142
free on ac,Informational,260,38,0.00,0.88,0,28,0,0,0,,https://www.lexus.ae/en/owners/service-plan-and-products/ac-refreshment-and-ac-gas-top-up/,,,,126
heat pack,Informational,260,20,0.06,0.99,0,0,0,0,26,,,,,https://www.3mae.ae/3M/en_AE/p/c/medical/temperature-management/hot-cold-therapy/hot-cold-packs/,156
helmet chin strap,Informational,260,10,0.00,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/d/b5005066153/,126
hot and cold pack,Informational,260,11,0.23,1.00,0,0,0,0,2,,,,,https://www.nexcare.3mae.ae/3M/en_AE/p/d/v000103103/,142
hot cold gel pack,Informational,260,9,0.23,1.00,0,0,0,0,2,,,,,https://www.nexcare.3mae.ae/3M/en_AE/p/d/v000103103/,150
hot cold pack,Informational,260,19,0.23,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/medical/temperature-management/hot-cold-therapy/hot-cold-packs/,146
hot pack and cold pack,Informational,260,11,0.23,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/medical/temperature-management/hot-cold-therapy/hot-cold-packs/,136
interior wrap,Informational,260,17,1.79,0.35,0,0,0,0,55,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/car-wrapping/,134
lexu 450,Informational,260,29,0.59,0.08,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/rx450h/,,,,116
lexus 400,Informational,260,22,0.00,0.03,0,17,0,0,0,,https://www.lexus.ae/en/new-cars/ls/,,,,133
lexus 450h,Informational,260,21,0.59,0.08,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/rx450h/,,,,131
lexus car price,"Informational, Transactional",260,36,0.29,0.15,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/,,,,112
lexus cost,Informational,260,36,0.41,0.12,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/,,,,131
lexus full form,Informational,260,16,0.00,0.33,0,60,0,0,0,,https://www.lexus.ae/en/,,,,115
lexus gx 2024 price,Informational,260,20,0.00,0.00,0,3,0,0,0,,https://www.lexus.ae/en/pre-owned/gx/,,,,197
lexus hybrid,"Informational, Transactional",260,21,0.76,0.17,0,1,0,0,0,,https://www.lexus.ae/en/hybrid/,,,,73
lexus is 300 price in uae,Informational,260,11,0.22,0.30,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/is300/,,,,106
lexus lfa price,Informational,260,19,0.36,0.02,0,7,0,0,0,,https://www.lexus.ae/en/pre-owned/lfa/,,,,192
lexus ls 430 price in uae,Informational,260,10,0.14,0.23,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/ls430/,,,,171
lexus models,"Navigational, Transactional",260,38,0.67,0.13,0,2,0,0,0,,https://www.lexus.ae/en/new-cars/,,,,163
lexus prado,Informational,260,41,0.00,0.01,0,1,0,0,0,,https://www.lexus.ae/en/,,,,117
lexus price,"Informational, Transactional",260,25,0.41,0.12,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/,,,,111
lexus rx 350 price,Informational,260,12,0.33,0.19,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/rx350/,,,,199
lexus service,Navigational,260,13,4.59,0.71,0,1,0,0,0,,https://www.lexus.ae/en/our-locations/abu-dhabi-service-center/,,,,123
lexus430,Informational,260,19,0.00,0.02,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/ls430/,,,,128
light diffuser,Informational,260,19,0.00,1.00,0,0,0,0,3,,,,,https://www.3mae.ae/3M/en_AE/p/d/b00024899/,128
littmann classic 3,"Informational, Transactional",260,13,0.24,1.00,0,0,0,0,18,,,,,https://www.3mae.ae/3M/en_AE/p/d/b00037556/,194
luxus,Informational,260,40,1.71,0.17,0,1,0,0,0,,https://www.lexus.ae/en/,,,,80
lx 570 price in uae,Informational,260,11,0.36,0.37,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/lx570/,,,,135
mmm co dubai,Commercial,260,14,0.42,0.02,0,0,0,0,9,,,,,https://www.3mae.ae/3M/en_AE/company-mea/about-3m/,100
nano ceramic coating,Informational,260,12,2.15,0.87,0,0,33,61,0,,,https://ppfdubai.ae/ceramic-coating,https://ceramicpro.com/what-does-a-nano-ceramic-coating-do/,,137
nx 350,Informational,260,29,0.85,0.16,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/nx/,,,,47300000
our car,Informational,260,16,0.00,0.03,0,0,0,0,10,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/,130
panoramic sunroof,Informational,260,21,19.12,0.10,0,2,0,0,0,,https://www.lexus.ae/en/news/moonroof-vs-sunroof-vs-panoramic-sunroof/,,,,115
peugeot al ain,Transactional,260,22,0.00,0.02,0,26,0,0,0,,https://www.lexus.ae/en/our-locations/alain-showroom/,,,,107
police accident report,Informational,260,19,0.00,0.33,0,5,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,4320
ramadan car offers,Informational,260,9,0.00,0.05,0,13,0,0,0,,https://www.lexus.ae/en/news/lexus-cars-offers-you-shouldnt-miss-this-ramadan/,,,,133
respirator mask,Informational,260,16,0.17,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/respiratory-protection/reusable-respirators/i/safety/personal-safety/,140
road sign board,Informational,260,10,0.82,0.68,0,0,0,0,10,,,,,https://www.3mae.ae/3M/en_AE/road-safety-ae/roads-highways/reflective-road-signs/,116
safety goggles black,Informational,260,9,0.16,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/eye-protection/,136
seal tape,Informational,260,18,0.04,0.99,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/sealing/i/automotive/,155
steel polish,Informational,260,8,0.40,1.00,0,0,0,0,13,,,,,https://www.3mae.ae/3M/en_AE/p/c/cleaning-supplies/chemicals-disinfectants/general-purpose/,147
stethoscope for doctors,Informational,260,26,0.31,0.95,0,0,0,0,43,,,,,https://littmann.3mae.ae/3M/en_AE/p/pc/stethoscopes/classic-stethoscopes/,137
suv dubai,Commercial,260,18,0.82,0.27,0,20,0,0,0,,https://www.lexus.ae/en/suv/,,,,155
traffic accident management,Informational,260,19,0.00,0.02,0,17,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,165
traffic sign boards,Informational,260,11,0.82,0.68,0,0,0,0,22,,,,,https://www.3mae.ae/3M/en_AE/road-safety-ae/roads-highways/reflective-road-signs/,138
vehicle chassis number check,Informational,260,20,0.21,0.32,0,19,0,0,0,,https://www.lexus.ae/en/news/what-is-a-chassis-in-cars-chassis-number-check-types-and-more/,,,,127
waterproof bandages,Informational,260,19,0.26,1.00,0,0,0,0,1,,,,,https://www.nexcare.3mae.ae/3M/en_AE/p/pc/bandages/waterproof-plasters/,159
window film dubai,Commercial,260,10,2.60,0.26,0,0,0,0,15,,,,,https://www.3mae.ae/3M/en_AE/home-window-solutions-mea/,121
wound plaster,Informational,260,16,0.38,1.00,0,0,0,0,16,,,,,https://www.3mae.ae/3M/en_AE/p/c/medical/bandages-dressings/,133
استيشن لكزس 2016,Informational,260,12,0.09,0.14,0,17,0,0,0,,https://www.lexus.ae/ar/pre-owned/lx570/,,,,136
الفطيم لكزس,Navigational,260,22,1.56,0.27,0,1,0,0,0,,https://www.lexus.ae/ar/,,,,127
الهايبرد,Informational,260,12,0.22,0.01,0,4,0,0,0,,https://www.lexus.ae/ar/news/how-to-use-hybrid-cars-efficiently/,,,,125
تقرير حادث,Informational,260,12,0.00,0.33,0,21,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,181
تكييف سيارات,Commercial,260,16,2.00,0.45,0,23,0,0,0,,https://www.lexus.ae/ar/owners/service-plan-and-products/ac-refreshment-and-ac-gas-top-up/,,,,132
سكراب لكزس الشارقة,Commercial,260,18,0.67,0.42,0,9,0,0,0,,https://www.lexus.ae/ar/our-locations/sharjah-service-center/?utm_source=google&utm_campaign=local_search&utm_medium=organic,,,,95
سيارة فورويل,Informational,260,12,0.46,0.05,0,30,0,0,0,,https://www.lexus.ae/ar/news/top-small-suvs-for-urban-adventures-and-beyond/,,,,118
قطع غيار لكزس مستعمل الشارقة,Commercial,260,15,0.39,0.53,0,7,0,0,0,,https://www.lexus.ae/ar/our-locations/sharjah-service-center/,,,,119
لكزس 2015,Informational,260,17,0.12,0.05,0,19,0,0,0,,https://www.lexus.ae/ar/pre-owned/,,,,134
لكزس 570,Informational,260,12,0.30,0.12,0,2,0,0,0,,https://www.lexus.ae/ar/pre-owned/lx570/,,,,133
لكزس gx 2024,"Informational, Transactional",260,12,0.49,0.00,0,2,0,0,0,,https://www.lexus.ae/ar/pre-owned/gx/,,,,122
لكزس is 250,Informational,260,12,0.26,0.14,0,5,0,0,0,,https://www.lexus.ae/ar/pre-owned/is250/,,,,135
لكزس lc 500,Informational,260,11,0.59,0.07,0,2,0,0,0,,https://www.lexus.ae/ar/new-cars/lc/,,,,133
لكزس ls,Informational,260,16,0.16,0.07,0,2,0,0,0,,https://www.lexus.ae/ar/new-cars/ls/,,,,134
لكزس ار اكس,Informational,260,11,0.39,0.11,0,4,0,0,0,,https://www.lexus.ae/ar/new-cars/nx/,,,,139
لكزس الفطيم,Navigational,260,23,1.64,0.32,0,1,0,0,0,,https://www.lexus.ae/ar/,,,,136
لكزس سبورت,Informational,260,18,0.51,0.07,0,1,0,0,0,,https://www.lexus.ae/ar/,,,,131
لكزس للبيع في الامارات,Informational,260,9,0.14,0.26,0,5,0,0,0,,https://www.lexus.ae/ar/pre-owned/,,,,108
مركز صيانة لكزس البادية,"Informational, Transactional",260,16,0.00,0.04,0,1,0,0,0,,https://www.lexus.ae/ar/our-locations/dubai-albadia-service-center/,,,,6870
معارض العين للسيارات,Commercial,260,16,0.27,0.47,0,15,0,0,0,,https://www.lexus.ae/ar/our-locations/alain-showroom/,,,,129
هايبرد,Informational,260,15,0.22,0.01,0,5,0,0,0,,https://www.lexus.ae/ar/news/what-is-a-hybrid-car-and-how-do-they-work/,,,,132
2012 is250,Informational,210,22,0.24,0.07,0,45,0,0,0,,https://www.lexus.ae/en/pre-owned/is250/,,,,135
2012 lexus is 250,Informational,210,19,0.24,0.07,0,30,0,0,0,,https://www.lexus.ae/en/pre-owned/is250/,,,,129
2015 lexus is 250,Informational,210,24,0.25,0.12,0,36,0,0,0,,https://www.lexus.ae/en/pre-owned/is250/,,,,130
2016 lx 570,Informational,210,18,0.12,0.10,0,47,0,0,0,,https://www.lexus.ae/en/pre-owned/lx570/,,,,129
350 f,Informational,210,18,0.00,0.01,0,3,0,0,0,,https://www.lexus.ae/en/pre-owned/is350/,,,,135
3m distributors in uae,Commercial,210,12,1.40,0.28,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/collision-repair-ae/support-from-3M-collision-repair/where-to-buy/,105
3m window tinting dubai,Commercial,210,16,3.26,0.89,0,14,0,0,1,,https://www.lexus.ae/en/owners/service-plan-and-products/3m-tint/,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,105
570,Informational,210,18,0.00,0.02,0,1,0,0,0,,https://www.lexus.ae/ar/pre-owned/lx570/,,,,127
abu dhabi camping site,Commercial,210,27,0.00,0.04,0,35,0,0,0,,https://www.lexus.ae/en/news/top-8-best-camping-places-in-uae/,,,,127
abu dhabi police accident check,"Informational, Transactional",210,21,0.00,0.33,0,13,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,141
abu dhabi police accident history,Informational,210,23,0.00,0.33,0,8,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,201
abu dhabi to salalah by road,Informational,210,20,0.00,0.01,0,7,0,0,0,,https://www.lexus.ae/en/news/a-complete-guide-for-dubai-to-salalah-road-trip/,,,,125
accident report uae,Informational,210,18,0.00,0.01,0,9,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,146
adhesive glue,Informational,210,17,0.43,1.00,0,0,0,0,9,,,,,https://www.3mae.ae/3M/en_AE/p/c/adhesives/,136
adhesive hooks,Commercial,210,17,0.21,1.00,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/home/storage-organization/clips-hooks-adhesive-strips/i/consumer/,142
adpolice accident history,"Informational, Transactional",210,19,0.00,0.33,0,15,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,127
al futtaim rent a car,Commercial,210,17,4.02,0.75,0,30,0,0,0,,https://www.lexus.ae/en/trade-in/,,,,106
anti slip,Informational,210,5,0.00,1.00,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/anti-slip-grip/,132
antislip,Informational,210,9,0.00,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/anti-slip-grip/tapes-treads/,128
best 7 seater family car in uae,Informational,210,9,0.82,0.38,0,20,0,0,0,,https://www.lexus.ae/en/news/lexus-7-seater-models/,,,,160
brown tape,Informational,210,5,0.00,1.00,0,0,0,0,56,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/,113
car body paint,Informational,210,15,3.17,0.17,0,0,0,0,16,,,,,https://www.3mae.ae/3M/en_AE/collision-repair-ae/car-repair-and-refinish-processes/car-paint-applications/,135
car finance uae,Informational,210,26,1.27,0.38,0,8,0,0,0,,https://www.lexus.ae/en/news/guide-to-car-finance-in-the-uae/,,,,113
car glass tint,Commercial,210,12,1.89,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,138
car offers uae,Informational,210,19,0.79,0.60,0,30,0,0,0,,https://www.lexus.ae/en/offers/,,,,101
ceramic tint,Commercial,210,12,1.89,0.98,0,0,0,54,2,,,,https://ceramicpro.com/what-is-a-ceramic-window-tint/,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/window-tinting/,133
certified pre owned cars dubai,Commercial,210,29,0.51,0.69,0,26,0,0,0,,https://www.lexus.ae/en/pre-owned/,,,,155
compact suv cars,Informational,210,30,1.04,0.15,0,26,0,0,0,,https://www.lexus.ae/en/news/top-small-suvs-for-urban-adventures-and-beyond/,,,,188
copper tape,Informational,210,11,0.36,1.00,0,0,0,0,2,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/foil/copper/,114
cruise control meaning,Informational,210,27,0.00,0.33,0,1,0,0,0,,https://www.lexus.ae/en/news/all-you-need-to-know-about-cruise-control-in-a-car/,,,,120
degreaser chemical,Informational,210,16,0.46,1.00,0,0,0,0,3,,,,,https://www.3mae.ae/3M/en_AE/p/c/cleaning-supplies/chemicals-disinfectants/degreasers/,136
driving in abu dhabi,Informational,210,19,1.03,0.43,0,4,0,0,0,,https://www.lexus.ae/en/news/driving-tips-for-new-drivers-in-dubai-and-abu-dhabi/,,,,129
dusting cloth,"Commercial, Informational",210,9,0.42,1.00,0,0,0,0,5,,,,,https://www.3mae.ae/3M/en_AE/p/c/cleaning-supplies/cloths-wipes/cleaning/,141
entrance mat,Commercial,210,7,0.86,1.00,0,0,0,0,19,,,,,https://www.3mae.ae/3M/en_AE/p/c/building-materials/matting/,116
eye protection glasses,Commercial,210,14,3.82,1.00,0,0,0,0,6,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/eye-protection/,136
feynlab middle east,Navigational,210,24,0.00,0.01,0,0,0,0,11,,,,,https://www.3mae.ae/3M/en_AE/company-mea/,99
free camping sites in ras al khaimah,Informational,210,24,0.00,0.01,0,35,0,0,0,,https://www.lexus.ae/en/news/top-8-best-camping-places-in-uae/,,,,106
fuel system cleaner,Informational,210,14,0.14,1.00,0,6,0,0,0,,https://www.lexus.ae/en/news/what-is-an-injector-cleaner-and-when-to-use-it/,,,,133
full face mask,Informational,210,6,0.34,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/respiratory-protection/reusable-respirators/full-face/,143
heat shrink,Informational,210,10,0.00,1.00,0,0,0,0,1,,,,,https://www.3mae.ae/3M/en_AE/p/c/electrical/wire-cable/tubing-molded-parts/heat-shrink/,138
hospital gown,Informational,210,19,0.32,0.87,0,0,0,0,56,,,,,https://www.3mae.ae/3M/en_AE/p/c/medical/surgical-supplies/gowns/i/health-care/medical/,139
how to check accident history in uae,Informational,210,9,0.62,0.18,0,12,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,152
how to check tyre year,Informational,210,9,0.00,0.01,0,1,0,0,0,,https://www.lexus.ae/en/news/a-complete-guide-on-how-to-check-tyre-year/,,,,95
how to report accident in dubai,Informational,210,26,0.26,0.04,0,3,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,233
hse training,Informational,210,39,0.70,0.23,0,0,0,0,67,,,,,https://www.3mae.ae/3M/en_AE/worker-health-safety-ae/safety-training-center/safety-training-courses/,130
hybrid suv,Informational,210,27,0.98,0.33,0,15,0,0,0,,https://www.lexus.ae/en/hybrid/,,,,160
hybrid suv cars in uae,Informational,210,16,1.15,0.46,0,22,0,0,0,,https://www.lexus.ae/en/hybrid/,,,,130
infotainment,Informational,210,34,0.00,0.15,0,4,0,0,0,,https://www.lexus.ae/en/news/car-infotainment-system-and-their-benefits/,,,,132
leasing dubai,Commercial,210,15,1.53,0.53,0,50,0,0,0,,https://www.lexus.ae/en/offers/,,,,108
lexus 430 price in uae,Informational,210,12,0.21,0.26,0,5,0,0,0,,https://www.lexus.ae/en/pre-owned/ls430/,,,,106
lexus coupe,"Informational, Transactional",210,16,0.65,0.07,0,2,0,0,0,,https://www.lexus.ae/en/coupe-performance/,,,,158
lexus gx 460 for sale,Informational,210,19,0.36,0.16,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/gx460/,,,,175
lexus gx 460 price in uae,Informational,210,11,0.34,0.30,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/gx460/,,,,113
lexus hatchback,Informational,210,29,0.56,0.10,0,1,0,0,0,,https://www.lexus.ae/en/pre-owned/ct200h/,,,,158
lexus is 200t,Informational,210,19,0.25,0.09,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/is200t/,,,,136
lexus is 350 سعر,Informational,210,16,0.29,0.16,0,2,0,0,0,,https://www.lexus.ae/ar/pre-owned/is350/,,,,122
lexus is250 f sport,Informational,210,17,0.37,0.14,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/is250/,,,,131
lexus lc 500 price uae,Informational,210,10,0.43,0.15,0,2,0,0,0,,https://www.lexus.ae/en/new-cars/lc/,,,,109
lexus lx570 price,Informational,210,13,0.21,0.07,0,2,0,0,0,,https://www.lexus.ae/en/pre-owned/lx570/,,,,193
lexus nx hybrid,"Informational, Transactional",210,20,0.44,0.25,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/nxh/,,,,134
lexus oil,Informational,210,16,0.93,1.00,0,4,0,0,0,,https://www.lexus.ae/en/owners/service-plan-and-products/oil-treatment/,,,,134
lexus price in dubai,Informational,210,16,0.45,0.24,0,1,0,0,0,,https://www.lexus.ae/en/,,,,110
lexus spare parts sharjah,Commercial,210,7,0.70,0.40,0,16,0,0,0,,https://www.lexus.ae/en/our-locations/sharjah-service-center/,,,,130
lexus suv price in uae,Informational,210,16,0.64,0.31,0,1,0,0,0,,https://www.lexus.ae/en/new-cars/rx350/,,,,173
lexus van,Informational,210,36,0.68,0.06,0,34,0,0,0,,https://www.lexus.ae/en/new-cars/,,,,137
lithman,Navigational,210,24,0.44,1.00,0,0,0,0,10,,,,,https://littmann.3mae.ae/3M/en_AE/littmann-ae/,175
littmann,Navigational,210,18,0.44,1.00,0,0,0,0,21,,,,,https://littmann.3mae.ae/3M/en_AE/p/pc/stethoscopes/classic-stethoscopes/,176
ls 430 for sale in uae,Informational,210,9,0.18,0.23,0,8,0,0,0,,https://www.lexus.ae/en/pre-owned/ls430/,,,,109
major service,Informational,210,12,2.32,0.21,0,5,0,0,0,,https://www.lexus.ae/en/news/minor-servicing-vs-major-servicing/,,,,122
mounting tape,Informational,210,13,0.23,0.99,0,0,0,0,4,,,,,https://www.3mae.ae/3M/en_AE/p/c/tapes/,158
nano ceramic,Informational,210,9,1.14,1.00,0,0,0,67,0,,,,https://ceramicpro.com/what-does-a-nano-ceramic-coating-do/,,137
paint gun,Commercial,210,7,0.23,0.19,0,0,0,0,19,,,,,https://www.3mae.ae/3M/en_AE/p/c/tools-equipment/sprayer-systems/guns-components/spray-guns/,194
paint protection coating,Informational,210,32,3.04,0.67,0,2,53,0,4,,https://www.lexus.ae/en/news/the-ultimate-guide-to-ppf-coating/,https://ppfdubai.ae/ceramic-coating,,https://www.3mae.ae/3M/en_AE/car-personalization-ae/applications/car-paint-protection/,137
photo wall,Informational,210,14,1.30,1.00,0,0,0,0,5,,,,,https://www.command.3mae.ae/3M/en_AE/command-CEEMEA/inspiration/picture-wall-ideas/,133
ppe equipment,Informational,210,25,0.66,0.86,0,0,0,0,4,,,,,https://www.3mae.ae/3M/en_AE/worker-health-safety-ae/,132
ppf in dubai,Commercial,210,32,6.97,0.82,0,0,25,0,0,,,https://ppfdubai.ae/,,,133
ppf meaning,Informational,210,9,3.46,0.04,0,3,5,2,0,,https://www.lexus.ae/en/news/the-ultimate-guide-to-ppf-coating/,https://ppfdubai.ae/blog/what-is-ppf,https://ceramicpro.com/what-is-ppf-and-how-does-it-work/,,130
ppf للسيارات,Informational,210,11,2.51,0.75,0,1,0,0,0,,https://www.lexus.ae/ar/news/the-ultimate-guide-to-ppf-coating/,,,,128
ramadan offers for cars in uae 2021,Informational,210,11,0.88,0.91,0,21,0,0,0,,https://www.lexus.ae/en/news/lexus-cars-offers-you-shouldnt-miss-this-ramadan/,,,,165
ramadan offers for cars in uae 2022,Informational,210,10,0.74,0.82,0,21,0,0,0,,https://www.lexus.ae/en/news/lexus-cars-offers-you-shouldnt-miss-this-ramadan/,,,,135
rc350,Informational,210,22,0.41,0.05,0,3,0,0,0,,https://www.lexus.ae/ar/new-cars/rc/,,,,135
road closed sign,Informational,210,14,0.00,0.46,0,0,0,0,18,,,,,https://www.3mae.ae/3M/en_AE/road-safety-ae/temporary-road-works-signage-markings/,137
safety courses in uae,Commercial,210,26,0.51,0.62,0,0,0,0,24,,,,,https://www.3mae.ae/3M/en_AE/worker-health-safety-ae/safety-training-center/safety-training-courses/,134
safety guard,Informational,210,5,0.00,0.23,0,0,0,0,25,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/eye-protection/,124
sedan vs suv,Informational,210,10,0.00,0.01,0,2,0,0,0,,https://www.lexus.ae/en/news/sedan-vs-suv-whats-the-difference/,,,,112
stainless steel cleaner,"Commercial, Informational",210,7,0.35,1.00,0,0,0,0,8,,,,,https://www.3mae.ae/3M/en_AE/p/c/cleaning-supplies/chemicals-disinfectants/general-purpose/,137
tegaderm dressing,Informational,210,13,0.29,1.00,0,0,0,0,3,,,,,https://www.nexcare.3mae.ae/3M/en_AE/p/d/v000075376/,155
three colours safety eqpt trdg llc,Navigational,210,9,0.00,0.04,0,0,0,0,17,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/,104
tyre manufacturing date,Informational,210,19,0.00,0.01,0,2,0,0,0,,https://www.lexus.ae/en/news/a-complete-guide-on-how-to-check-tyre-year/,,,,113
tyre pressure gauge,Commercial,210,14,0.31,1.00,0,7,0,0,0,,https://www.lexus.ae/en/news/what-is-car-tire-pressure-and-how-to-check-it-in-uae/,,,,148
used car loan uae,Informational,210,26,1.01,0.55,0,10,0,0,0,,https://www.lexus.ae/en/news/guide-to-car-finance-in-the-uae/,,,,108
volvo service abu dhabi,"Informational, Transactional",210,15,2.65,0.66,0,43,0,0,0,,https://www.lexus.ae/en/our-locations/abu-dhabi-service-center/,,,,105
welding mask,Informational,210,15,0.00,1.00,0,0,0,0,5,,,,,https://www.3mae.ae/3M/en_AE/p/c/ppe/welding-protection/,142
when to change your tires,Informational,210,13,0.00,0.04,0,4,0,0,0,,https://www.lexus.ae/en/news/when-and-how-often-should-you-replace-car-tires-in-uae/,,,,122
window stickers,Informational,210,16,0.51,0.98,0,0,0,0,29,,,,,https://www.3mae.ae/3M/en_AE/graphics-and-signage-ae/applications/window-graphics/,138
استيشن لكزس 2015,Informational,210,15,0.12,0.08,0,19,0,0,0,,https://www.lexus.ae/ar/pre-owned/lx570/,,,,126
الضمادة,Informational,210,21,0.00,0.99,0,0,0,0,21,,,,,https://www.3mae.ae/3M/en_AE/p/c/medical/bandages-dressings/b/tegaderm/i/health-care/medical/,133
تشليح الشارقة,Commercial,210,22,0.00,0.53,0,16,0,0,0,,https://www.lexus.ae/ar/our-locations/sharjah-bodyshop/,,,,108
تقرير حادث دبي,Informational,210,20,0.00,0.33,0,9,0,0,0,,https://www.lexus.ae/en/news/what-to-do-after-a-car-accident-in-dubai-and-abu-dhabi/,,,,164
تمويل سيارات بدون دفعة اولى,Informational,210,11,1.58,0.77,0,5,0,0,0,,https://www.lexus.ae/ar/news/what-to-consider-before-taking-out-a-car-loan-in-the-uae/,,,,133
ثروتل,"Informational, Transactional",210,7,0.00,0.31,0,20,0,0,0,,https://www.lexus.ae/ar/owners/service-plan-and-products/throttle-body-cleaner/,,,,106
